rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:48fzAdCxamFYCHNXXLk6zn","shadowraze","showdown","Союз Мьюзик",1,1,13,"49088"
2,"spotify:track:4jvw60Iw8LpSRJwy1sOmoB","Шайни","Yeyo!","Mansion Music",2,6,16,"42030"
3,"spotify:track:47iHvzU9Po0e6raFlgLBOF","shadowraze","astral step","Союз Мьюзик",1,3,16,"36523"
4,"spotify:track:4ikCWgaaGLKgb724CUNnqZ","Кореш","глаза не врут","cplus",4,-1,1,"34150"
5,"spotify:track:2WzAAerBvZvvFXgUpSwHZ9","PLAYAMANE, Nateki","MIDNIGHT","PLAYAMANE",5,5,3,"33442"
6,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",3,7,16,"30516"
7,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",4,8,8,"30232"
8,"spotify:track:3pr2J4VXb5h8WhCu4ljify","The Limba","Секрет","The Limba",2,2,2,"29565"
9,"spotify:track:5TK74MJYRmwU5NIAjGRvRq","Scally Milano, uglystephan","Я хочу тебя трахать","AMC MUSIC",8,10,9,"28852"
10,"spotify:track:04gmklgYhNhZxRnAvSofoE","pyrokinesis, MUKKA","Днями-ночами","Rhymes Music Inc.",6,9,16,"28089"
11,"spotify:track:7E8brh6jjHSx44rF62jQKR","Violetta Sokolova","Четыре тридцать","Sokolova 88Q88",4,4,3,"27749"
12,"spotify:track:6RmlamfS2Supq8wARlY0QQ","10AGE, Ramil'","Ау","Rhymes Music Inc.",4,11,16,"26960"
13,"spotify:track:1ghdJUMhmLEpUitNwyNMWH","fem.love","Фотографирую закат","A+",3,14,16,"25693"
14,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Negative Gain Productions",11,13,16,"25604"
15,"spotify:track:3yCKABoZU3FVFuyVBc5VlM","rizza, Sqwore","плачь","Adam Music",12,19,16,"24553"
16,"spotify:track:70qbqCW6z92WESMZC1opsd","Nervy","Нервы","Navigator Records",15,18,16,"23636"
17,"spotify:track:7biChppM3c8q7qcVl7ceb2","FACE","ЛАБИРИНТ","Face",5,16,15,"23393"
18,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",12,12,9,"22323"
19,"spotify:track:4ZOjdqmXLuwHDQUn9WWoFR","Минин","Зелёный глаз","VHQ Distribution",6,23,15,"22319"
20,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",20,25,16,"22301"
21,"spotify:track:48jRCynldeK3WQbvd3jr73","zxcursed","never enough","88 СЕВЕР",13,21,12,"22125"
22,"spotify:track:4CK9NEdPWB6rJ8N6BU20pN","ПОЛМАТЕРИ","ярче звёзд","ZVEZDOCHKA",4,17,11,"22107"
23,"spotify:track:0r9fpWPI6z3V3YZXIiVaNC","Big Baby Tape, kizaru","99 Problems","Sony Music Entertainment",7,20,16,"22097"
24,"spotify:track:5jXocrsUwpKwWyI5BZLKFA","shadowraze, LXNER, quiizzzmeow","adaptive strike","SAVAGE$TATION",3,24,16,"21938"
25,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",17,26,16,"21902"
26,"spotify:track:5X1FYw7MXEgnPmQAYwAa0q","quiizzzmeow","Aomine Daiki","SAVAGE$TATION",20,30,16,"20652"
27,"spotify:track:1AMf9lmFOmLmb0e57QB78e","Дора, MAYBE BABY","Барбисайз","Streaming Club, under exclusive license to Rhymes Music Inc.",24,35,16,"20498"
28,"spotify:track:16AzcbKli3UQsxj491hJLQ","Big Baby Tape, kizaru","Bandana","Sony Music Entertainment",11,28,16,"20401"
29,"spotify:track:0VGLb6IeeG5ZqonN5EavDu","КАКАЯ РАЗНИЦА","Рассвет","Какая Разница",29,31,16,"20349"
30,"spotify:track:0i8YObgqnjZYoYJOQbwLHq","Poshlaya Molly, Eldzhey","Дом Периньон","DROPBLED",25,27,16,"20342"
31,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",31,38,6,"20268"
32,"spotify:track:3mcw4dkjfzj5B4Ago9NSmN","uniqe, nkeeei, ARTEM SHILOVETS","ТОЛПЫ КРИЧАТ","steezy",8,22,16,"19951"
33,"spotify:track:4tPB6H0QcK4bDib8iauE28","Alyona Shvets","первое свидание","rainbow flower",16,33,16,"19941"
