rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"500030"
2,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",2,2,6,"313333"
3,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",3,-1,1,"306835"
4,"spotify:track:6OZwia8loN0aPS0vTvsBjR","Alonzo, Ninho, Naps","TOUT VA BIEN (feat. Ninho & Naps)","ONLY PRO",4,4,2,"262950"
5,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",2,5,13,"254805"
6,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",6,11,5,"224124"
7,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,8,72,"220200"
8,"spotify:track:6Qe7YCkIOc1iaw9HKqO3qV","Soolking","Suavemente","Universal Music Division Capitol Music France",8,15,14,"210706"
9,"spotify:track:7uQ7e7nzbtyX87eIYHpj6Z","S10","De Diepte","Noah's Ark BV",4,6,5,"209785"
10,"spotify:track:4VgSGm7CroAlCCt9GKQ75Z","Jérémie Makiese","Miss You","Universal Music S.A.",2,7,12,"204594"
11,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",5,12,44,"198490"
12,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",3,3,2,"194557"
13,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",13,22,76,"193239"
14,"spotify:track:181AxLRTyYh9WUxEjmJt1Y","Willy William","Trompeta","Helix Records",14,20,9,"190835"
15,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",3,13,8,"188890"
16,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",16,24,21,"187020"
17,"spotify:track:63JrADDfrcjOaI6lyVkN3c","Kris Kross Amsterdam, Antoon, Sigourney K","Vluchtstrook","KKA/Dreamteam/Cloud 9/Ownit",2,14,24,"186599"
18,"spotify:track:2USlegnFJLrVLpoVfPimKB","Gabry Ponte, LUM!X, Prezioso","Thunder","Spinnin' Records",4,16,34,"182031"
19,"spotify:track:7AVHDeAjfn0zfMnYRhp0oI","Pommelien Thijs","Ongewoon","Sony Music Entertainment",4,23,7,"179060"
20,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",4,19,30,"178461"
