rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2FBlCQ6UYQu1KHMBnruVul","Torino, Pashata, Kamelia","Plan B","Kings Records",1,1,4,"40891"
2,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,2,9,"36686"
3,"spotify:track:16rryuFZpdvWzKllkUw0ri","Preslava, Konstantin","Sladkoto zlo","Payner",1,3,5,"33438"
4,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",2,6,29,"24289"
5,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",5,-1,1,"24013"
6,"spotify:track:3Ya6AUGGni7HPC5P9gh2bj","Emilia, DENIS TEOFIKOV","Пак ще се броиш","Emilia",1,5,12,"23644"
7,"spotify:track:1jmwXsqCLABS1RNUtcz7GC","Emilia, DENIS TEOFIKOV","Единствено","Emilia",2,7,7,"20524"
8,"spotify:track:5bYyQzaUSXpGGrJuGZfafd","Galena, Azis","А+Г=ВНЛ","Galena",1,8,25,"19530"
9,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,12,72,"19081"
10,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",3,14,8,"19075"
11,"spotify:track:78ctG4oXFeZOqrr7bcJFE2","Fiki","Отпусни се","Storaro Music",11,21,4,"17466"
12,"spotify:track:0JK0UF0VcZTNRkx5HhmQOV","Medi","Maria","MEDI",6,17,7,"17357"
13,"spotify:track:4BGRK42GfRCw2Hoolpu1G7","Galin, SIMONA","Трезора","Alpha Music",11,11,2,"17180"
14,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",4,4,2,"16935"
15,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",11,22,30,"16272"
16,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",13,18,3,"15706"
17,"spotify:track:23HAp6WM0phD5RqDyxtr6b","FYRE","DJIGIT DRILL","Team 02",10,10,2,"15590"
18,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",18,-1,1,"15565"
19,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",4,26,49,"15452"
20,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",19,35,37,"15194"
21,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",1,29,31,"15006"
22,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,28,45,"14853"
23,"spotify:track:56dILgPraSNLKcd89hxXaq","Molec","7 Dni","Independent",23,68,9,"14376"
24,"spotify:track:17ebbiVJ3iAtqJ5TxdVzWm","Severina, Azis","Falis mi","FM Play Production",24,46,7,"14364"
25,"spotify:track:4cLi9bZRMvDITlmKdo6D2l","Mom4eto, Gyoky","Без теб","MOMO RECORDS",25,40,8,"14158"
26,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",26,64,3,"14102"
27,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",24,47,13,"14069"
28,"spotify:track:6ChnGkBwnq2HUJD24YhMhW","Cheriimoya, Sierra Kidd","Living Life, In The Night","Cheriimoya",28,48,15,"13971"
29,"spotify:track:7fYRg3CEbk6rNCuzNzMT06","Calvin Harris, Dua Lipa, Young Thug","Potion (with Dua Lipa & Young Thug)","Columbia",29,-1,1,"13946"
30,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",23,32,4,"13944"
31,"spotify:track:59CfNbkERJ3NoTXDvoURjj","Dove Cameron","Boyfriend","Disruptor Records/Columbia",2,37,16,"13836"
32,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",10,36,41,"13832"
33,"spotify:track:7jn2HBxZQS1BX4sxMlF3R9","Krisko, Galena","Тръпката","Krisko Beats",8,19,43,"13795"
34,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",2,39,38,"13794"
35,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",4,42,10,"13765"
36,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",16,30,92,"13697"
37,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",15,43,7,"13635"
38,"spotify:track:772ARvmnEjryug7ce0lRAF","Tsvetelina Yaneva, Medi","Филм за нас","Tsvetelina Yaneva",2,33,23,"13451"
39,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",9,34,22,"13265"
40,"spotify:track:2FeBslNBMdR9V58uv6hd2t","Kendrick Lamar","N95","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",3,16,3,"13260"
41,"spotify:track:2gTyfm5jrmTx4IH9K0CJk3","Galena","Ти не си за мен","Galena",3,44,45,"12812"
42,"spotify:track:08M0nuLM2GDEf9YoxMLmjH","Sofi Marinova","Garmish","Lorenzo Music",30,45,7,"12702"
43,"spotify:track:2SKoecvDt04LkeRGGzhjtA","Lidia, SIMONA","Навик","Alpha Music",5,38,8,"12498"
