rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"24496"
2,"spotify:track:2xdG3MPGdmb2u57RKwQF34","Fy, Mc Daddy, Display","Nisi","Capital Music",2,3,4,"23765"
3,"spotify:track:62nygHWpn3wLwnZmJ8keVs","Velet","Aşk Sadece Anlayana","Müzik Bankası",2,2,3,"22069"
4,"spotify:track:0SCtkG26IEKCKxJ7UmWZWa","cakal","İmdat","Perros Blancos",2,6,7,"21250"
5,"spotify:track:61BaxNqs8df4B4Vtndb9DE","Mad Clip, Light, Skive","Nani","Mad Clip",1,4,5,"20632"
6,"spotify:track:3KNWjZgf92VwvWAselZ6sP","Kings, Trannos","Madame","Panik Records",1,7,7,"19911"
7,"spotify:track:21xcnEC8ZIr8nTtI8xyDeS","TOQUEL, Sin Laurent","Panorama","Minos - EMI SA Distribution Deals",7,-1,1,"19242"
8,"spotify:track:5j2qq0EBEAceOdff92l4qZ","TOQUEL","Beverly Hills","Minos - EMI SA Distribution Deals",8,10,3,"17770"
9,"spotify:track:1ob6WCVuZIO5qk7jiRrHjn","Trannos","Tropicana","Capital Music",9,-1,1,"16588"
10,"spotify:track:3QGiHTjiRmfsOT3VoLhiCn","TOQUEL, For3al, Beyond","Kokkina Matia","Minos - EMI SA Distribution Deals",10,-1,1,"16301"
11,"spotify:track:2oAoWaGzQeq8JMywmukQ8J","Hawk, Baghdad","CELINE","Above The Hood",5,5,2,"15657"
12,"spotify:track:33eHMRTXayncWkfj72BI3U","Sefo","Tutsak","3TR6AP2",12,16,5,"14577"
13,"spotify:track:5h1Zdr8ghV5RaWjtdfVo8w","MERO, Murda","Konum Gizli (feat. Murda)","Urban",13,25,3,"14528"
14,"spotify:track:72jYQj3RgTR1DFLfibD71B","UZI","ARASAN DA","Ava Music / Avrupa Müzik",1,13,11,"14236"
15,"spotify:track:1I8WeuAQ7UAfLZiExVRiKt","Trannos","Ibiza","Capital Music",9,9,2,"13942"
16,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,12,77,"13436"
17,"spotify:track:0qQiT7KDAZGP1WdkWvqNah","TOQUEL, Sin Laurent","Platina","Minos - EMI SA Distribution Deals",17,-1,1,"13141"
18,"spotify:track:3gMkuoFyby1uUf7rR7y8Km","Konstantinos Argiros, Light","Iliovasilema - (Part 2 - Fos)","Panik Platinum",11,11,5,"12909"
19,"spotify:track:4qcngMZ8yF98sAnFKlvXPN","Lvbel C5","GELMEZSEN GELME","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",2,20,11,"12812"
20,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",20,-1,1,"12725"
21,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",3,15,28,"12676"
22,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",3,14,8,"12323"
23,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",11,18,13,"12204"
24,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",13,19,38,"12112"
25,"spotify:track:6YfzfBiC4dpF5yv63QcLCY","TOQUEL","Skoni","Minos - EMI SA Distribution Deals",25,-1,1,"11883"
26,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",12,21,30,"11324"
27,"spotify:track:6ALp9AUG6KFmya8JGmOxjt","cakal, Gzuz","Gostoso","Perros Blancos",21,23,3,"11248"
28,"spotify:track:3BEciTHKrT0WUZuov9Yjod","TOQUEL, Sin Laurent, Beyond","Moneydance","Minos - EMI SA Distribution Deals",28,-1,1,"11248"
29,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",8,8,2,"10904"
