rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2sXnat46y10FtAbW2A0ira","Calin","Hannah Montana","WM Czech Republic",1,1,12,"352578"
2,"spotify:track:2wPph50bF6qHnXgruVKHm8","P T K, Yzomandias","Baby a Benzo","CE Records",2,3,2,"290568"
3,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,2,9,"216380"
4,"spotify:track:163UXyyrFlAIQapVN3DqIp","Calin","Praha/Vídeň","WM Czech Republic",1,4,37,"179270"
5,"spotify:track:1TLdCwhyeVjSXjn5OSvML8","Calin","Hannah Montana VIP","WM Czech Republic",2,5,7,"171501"
6,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",6,-1,1,"168801"
7,"spotify:track:0J3SIAOndpL1MS2Vq2RMQ9","Viktor Sheen","Stíny","WM Czech Republic",1,6,29,"166723"
8,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,9,72,"142678"
9,"spotify:track:705U2GkmMiEPrqRWMPmabr","Calin, Viktor Sheen","Sangria","WM Czech Republic",2,8,12,"140564"
10,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",2,20,31,"119045"
11,"spotify:track:5S1aHYFgkXbYTi0vDNuzZ0","Smack","Další rok","WM Czech Republic",1,14,25,"116396"
12,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",11,16,73,"115869"
13,"spotify:track:3rxHQ7HeJCpiei1d6ANDPW","Viktor Sheen, Calin, Hasan, Nik Tendo","Až na měsíc","WM Czech Republic",1,13,159,"113283"
14,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",6,21,40,"111237"
15,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",14,23,8,"110222"
16,"spotify:track:422I38B6wM8mWDUVwCn28f","Calin, Ben Cristovao, KOJO, STEIN27","Asgard","WM Czech Republic",7,17,24,"107471"
17,"spotify:track:6wP50fRwzHUluLhwr2CVJe","Grey256","Safe","WM Czech Republic",8,15,7,"105144"
18,"spotify:track:4ERjIDbLvQYSxVT3cRu2LK","Calin","Nad ránem","WM Czech Republic",1,18,12,"104568"
19,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",7,7,2,"101221"
20,"spotify:track:3AExPJ7KcjzpJWY2k8UAZO","Viktor Sheen","Sérum","WM Czech Republic",5,24,29,"99023"
