rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:31dynF6Vm6s6cLsHEBL8kp","Tobias Rahim","Mucki Bar","Sony Music Entertainment",1,1,16,"534862"
2,"spotify:track:56Ua2ypj5HWnotoIF3lEHc","Tobias Rahim, andreas odbjerg","STOR MAND","Sony Music Entertainment",1,3,42,"491672"
3,"spotify:track:5fS3B6lae85C2rA8jPfoE2","D1MA","DRØM MIG VÆK","7OUMA Records",3,7,9,"466447"
4,"spotify:track:5Mx9Hf6G4nZoTp5Ll9AH73","andreas odbjerg","hjem fra fabrikken","Universal Music A/S",1,4,13,"461821"
5,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,2,9,"442313"
6,"spotify:track:5uPv6fOsHPC8ZqxRKElxMP","GMG","Danser","Universal Music A/S",4,5,6,"437534"
7,"spotify:track:7zBD2Y6xoOMgm4ftGHFWfW","GMG","Hvor Har Du Lært Det","Universal Music A/S",7,16,2,"409685"
8,"spotify:track:09N9LGyKqWlLViq2bQjFxR","Artigeardit, Lamin","Vågen (Artigeardit X Lamin)","Universal Music A/S",8,-1,1,"387214"
9,"spotify:track:1bIxLnZasVLJbol55wDU5r","Tobias Rahim","Når Mænd Græder","Sony Music Entertainment",4,6,4,"386512"
10,"spotify:track:1lARru9E0ESa5lZchy1Rvm","Specktors, Tessa, TopGunn","Lågsus For Evigt","Parlophone Denmark",5,8,8,"374857"
11,"spotify:track:1k7bDVNh318BxL8gFeLd8N","Josef, TopGunn","Er Det For Sent? (feat. TopGunn) - Remix","Universal Music A/S",11,11,2,"347998"
12,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",9,9,2,"306768"
13,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",5,10,8,"288041"
14,"spotify:track:3LlqJkcXMBIAE5X1uUiZUN","The Minds Of 99","Under Din Sne","No3",2,12,30,"282173"
15,"spotify:track:6e7KGsngU13kguy5hTvSxe","Gilli","Kender Ik' I Morgen","Universal Music A/S",1,14,20,"276259"
16,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",13,15,7,"235433"
17,"spotify:track:0QPbPIyuUB4Jdm0vjCIVJV","Branco","BLUE LAGOON","BMB Entertainment",7,13,3,"233639"
18,"spotify:track:15UqDIySHN7BlafyZzzD4s","ICEKIID","DRIPPY","Cannibal Records",10,17,4,"220537"
19,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",11,19,13,"219077"
20,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",20,-1,1,"210856"
21,"spotify:track:7iuM7vnvSjX9qqcuFtij1T","andreas odbjerg","føler mig selv 100","Universal Music A/S",12,22,110,"207567"
22,"spotify:track:6BxGGPBdNexcy53euZsrga","Artigeardit, KESI","Er Her (Artigeardit, KESI)","Universal Music A/S",1,21,55,"201982"
23,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",23,-1,1,"198984"
24,"spotify:track:2r9XlaCgwoflge9TxWVME1","Rasmus Seebach","Livstegn","Universal Music A/S",24,-1,1,"190026"
25,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",5,30,42,"185022"
26,"spotify:track:1ugQtcwmKOXvKAYzhjncmv","Dean Lewis","Half A Man","Universal Music Australia Pty. Ltd.",1,29,20,"183772"
27,"spotify:track:2GajeoOS17ifAmYX8xxPZw","Benny Jamz, Gilli, KESI, B.O.C","Ibiza","MXIII",1,28,50,"182169"
28,"spotify:track:1ei3hzQmrgealgRKFxIcWn","Benson Boone","In The Stars","Warner Records",11,27,5,"173519"
29,"spotify:track:2xtNOow6ra2MYH35t3zbJf","Jimilian","Kærlighed I Luften","Flex Music",29,32,5,"173383"
30,"spotify:track:3a6GwXyS27Phmpr9XMv1h7","Gilli","Miami Vicer","Universal Music A/S",6,34,20,"172914"
31,"spotify:track:7fYRg3CEbk6rNCuzNzMT06","Calvin Harris, Dua Lipa, Young Thug","Potion (with Dua Lipa & Young Thug)","Columbia",31,-1,1,"170916"
32,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,37,47,"170461"
33,"spotify:track:5cKKhLrACXi9bVMxrMki75","Lasse Skriver","Like It","Sony Music Entertainment",4,31,10,"167447"
34,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",1,45,38,"162980"
35,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",8,44,72,"162313"
36,"spotify:track:6bldUK7gjgeHbpxxoXd1xv","Infernal, Jimilian, Branco","From Paris to Berlin (feat. Branco & Jimilian)","Sony Music Entertainment",4,39,18,"161871"
37,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",20,20,2,"158647"
38,"spotify:track:6HJizCbaqaEQG1eLjn341Z","Dean Lewis","Hurtless","Universal Music Australia Pty. Ltd.",8,38,9,"158593"
39,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",3,46,42,"156629"
