rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5kdlxZ5skOYY3VK8RlfEIZ","Wegz","البخت","Takwene",1,1,14,"215176"
2,"spotify:track:5V0l4DBUYwNr8ETXqf1Yod","Wegz","بعودة يا بلادى ( من فيلم "" كباتن الزعتري "")","Takwene",2,2,11,"132386"
3,"spotify:track:56toH670HEUhhOYEbubXYr","Abo El Anwar, Marwan Pablo, Lil Baba","Brrr Brrr Brrr","Digital Sound - R Productions",2,3,4,"117809"
4,"spotify:track:3JFB9ZJ8vZrKL8AJiRspLZ","Marwan Pablo","RACORE","The Basement Records",3,4,4,"112982"
5,"spotify:track:5NcTOxzo2WE20tFdtUhbAM","Marwan Pablo","BARBARY","The Basement Records",2,5,14,"100326"
6,"spotify:track:46Q0bzrsZyD2dzZCuLq5R2","Elissa, Saad Lamjarred","Min Awel Dekika","Elissa",6,7,4,"99884"
7,"spotify:track:4U7uW9KlqalDKu8ff9OyDm","Marwan Moussa","Aloomek","The Basement Records",7,9,15,"99521"
8,"spotify:track:74utdoJDUGLIMlrSS6jHlU","El Waili, Moscow","Dawly","Modissa - Wall Of Sound",5,6,5,"92415"
9,"spotify:track:5hiQSNo6jQbQ2m2gBZs7bU","Muslim - مُسلِم","Etnaset","Digital Sound",1,8,32,"89392"
10,"spotify:track:53NXe3kkRKLOHetbquwSxt","Telecom Egypt, Ahmed Mekky, Wegz","اغنية اقوى ميكس من وي","Telecom Egypt",1,10,17,"75870"
11,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",4,11,9,"67495"
12,"spotify:track:7kFcz3xHq7hsOrfQWkipvP","El Waili","Ya Salam - Remix","Modissa - Wall Of Sound",10,13,14,"66397"
13,"spotify:track:0johwiyFvPcTbM1miBvaUh","Ali Loka, Ouzzy","Matkhafesh Yamma","WKS LTD",3,12,15,"65653"
14,"spotify:track:5kQCI3faUHASM28R91ksUY","Ahmed Saad","Aleky Eyoun","Mazzika Group",6,15,15,"65046"
15,"spotify:track:2FntmtxOqyNgZkxaZchEn0","Wegz","سكرتي","Takwene",6,17,136,"64819"
16,"spotify:track:3g4p8OgtpxHpEHzEjnRo6J","Muslim - مُسلِم","Mesh Nadman","Digital Sound",10,18,22,"61271"
17,"spotify:track:0BCEJXmemL21JvNNoOB5TT","Akram Hosny, Ayten Amer, Hanady Mehanna","ستو أنا","Kmedia",17,25,6,"61162"
18,"spotify:track:3yWSjxKQMpa7hXcmVElZgX","Wegz, Disco Misr","Keify Keda","Gamma Music",1,16,33,"59988"
