rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6vmFYA9uGxkS7u8c651KnL","Ramses II","Villieläin","ramses ii",1,4,7,"867237"
2,"spotify:track:5e7XVJJcGbecTB9N4asFsu","El Migu","Erilainen","Sony Music Entertainment Finland",1,1,2,"676337"
3,"spotify:track:3UTyIQpogsEpo9IIY5wLS5","JVG","Amatimies","WM Finland",1,2,5,"637020"
4,"spotify:track:22KSKT3mCbSiG4RT20ogxB","Gettomasa, Van Hegen","Shamppanjadieetillä","PME Records",4,-1,1,"603662"
5,"spotify:track:0JbfBxlJxSqjbI9vbzi4Vn","Joe L, william","Käytöstapoi (feat. william)","Sony Music Entertainment Finland",3,3,2,"449096"
6,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,5,9,"324333"
7,"spotify:track:6TsLJhggpJxIdeNF7I7bbx","Nebi, Gettomasa","KiMi","EIFFEL",6,6,2,"295960"
8,"spotify:track:1SllLQv2tfIlgtYXO5edRM","T Swoop","Mon Ami","Sony Music Entertainment Finland",2,7,10,"282598"
9,"spotify:track:55qPuI6NekVyNPM6kh5DN4","BESS","Ram pam pam","Universal Music Oy",1,8,20,"273177"
10,"spotify:track:4nPf3a74YvdiZT9L9ILMly","Fabe","WYD","Sony Music Entertainment Finland",10,11,3,"268037"
11,"spotify:track:3yGXUI2VY7HMpJpiIerO3H","Evelina","Sydän sulaa","Universal Music Oy",11,-1,1,"262674"
12,"spotify:track:3lAsUzcayDwcxLOX0RL4tc","Gettomasa","Hölliikse","PME Records",12,-1,1,"250558"
13,"spotify:track:0nRssz1xxPRC6B22k5lG06","MD$, Sexmane, B.Baby","Nonstop (feat. Sexmane & B.Baby)","Sony Music Entertainment Finland",13,13,2,"233011"
14,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",9,9,3,"232432"
15,"spotify:track:3Cem1dtq0bNVYQNqz9h0BY","Ed Sheeran, Ellinoora","2step (feat. Ellinoora)","Atlantic Records UK",2,12,5,"229216"
16,"spotify:track:3TC6Z4oLl3AYL1Vd7PtDr4","Pihlaja, Etta","Bändäri","Sony Music Entertainment Finland",1,15,10,"227497"
17,"spotify:track:6BjYoI5TKTYEEZntqd13Ft","Madboiali, Stafa","Sääntöi (feat. Stafa)","WM Finland",17,-1,1,"223984"
18,"spotify:track:48GrbwydcMUFPfKrSeq6K0","Sexmane","40K","Sony Music Entertainment Finland",9,18,6,"219835"
19,"spotify:track:6YFcvJlcgQceRfJrVpmJa0","Olli Halonen","Pohjola","WM Finland",1,20,52,"215874"
20,"spotify:track:66ZiW1fgTaWZINhOLyDeLo","Gettomasa","500 Hevosta","PME Records",1,14,6,"208829"
21,"spotify:track:3u8gd2SedmlhbV3dA8u5Xz","SINI YASEMIN, Mouhous","Rakkautta ja piikkilankaa","Universal Music Oy",19,19,2,"204689"
22,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",22,-1,1,"203943"
23,"spotify:track:0510Z3QobhS1qOFEybAVaY","Gasellit","Pakko relaa ennen kun mä delaan","Sony Music Entertainment Finland",7,17,3,"197791"
24,"spotify:track:3bIKi7iQ8lnX5oA8xILBon","pehmoaino","haluun takas mun perhoset","Sony Music Entertainment Finland",1,21,10,"182185"
25,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",10,10,2,"181440"
26,"spotify:track:203wlY7jCBMZq5h4DOIDRL","Poju","Poika saunoo","WM Finland",7,-1,8,"175796"
27,"spotify:track:7aP68E6dMvQ54Mu41Omke4","Kiki","666","WM Finland",8,25,24,"171903"
28,"spotify:track:67A13FUQH1vp3jmjwJKsA5","Olli Halonen","Suomen kesä","WM Finland",17,22,4,"170095"
29,"spotify:track:31Uejc1IcBfwXy7f5IepM3","DJ Oku Luukkainen, Portion Boys","Omaa lomaa (feat. Portion Boys)","WM Finland",29,-1,1,"166641"
30,"spotify:track:74efghIFJsznqDh0pHDZg4","ABREU","Kaikki paitsi sydän","WM Finland",2,23,6,"161691"
31,"spotify:track:6uBUE6pgQnHYq64cENGtrb","Blacflaco, Mjay","Munkaa","Ghettobaby.ent",17,28,10,"159663"
32,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",20,24,6,"158960"
33,"spotify:track:4N84bVnNycTXiuoKZFEXrD","Portion Boys, Matti ja Teppo","Vauhti kiihtyy (feat. Matti ja Teppo)","Sony Music Entertainment Finland",1,37,51,"155959"
34,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",14,38,23,"148655"
35,"spotify:track:7tv9J2xwmdg0SoZ4QbQEBD","Fabe","Tähti","Sony Music Entertainment Finland",5,34,13,"148330"
36,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH","Stefania (Kalush Orchestra)","Columbia Local",2,16,4,"147012"
37,"spotify:track:3izHyYiROshTbHH9hCRQya","Elastinen, Johanna Kurkela","Hetken tässä kaikes on järkee (feat. Johanna Kurkela)","WM Finland",6,31,6,"145888"
38,"spotify:track:7ffZ0iPT1UQvgm4e1KsaDC","Portion Boys","Elämän ABC","Sony Music Entertainment Finland",3,35,11,"145312"
39,"spotify:track:3o3L7pnXxyytOVPYJOm93W","Cledos, A36","City (feat. A36)","WM Finland",6,39,8,"139583"
40,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",5,32,8,"138100"
41,"spotify:track:2uK2ecojfgD1HjSveRgie4","JVG","Viikonloppu","WM Finland",7,36,5,"137745"
42,"spotify:track:3wtRD153qJoNCUBu7BB1EH","Nelli Matula","Diva","Universal Music Oy",29,29,2,"131322"
43,"spotify:track:0heKuoYddK5ee4WQor56E0","AHTI, Costi","Stara (feat. Costi)","WM Finland",43,-1,1,"128623"
44,"spotify:track:0QO1QnI4tOXLwtgXQmVqPA","Portion Boys","Kyläbaari","Sony Music Entertainment Finland",12,51,65,"125999"
45,"spotify:track:5RjXM4VbBozKdiczEPdSr9","Lärvinen, Portion Boys, Pasi ja Anssi, Teflon Brothers, JS16, HesaÄijä, DJ Oku Luukkainen","Karjaisu Leijonan (feat. Portion Boys, Pasi ja Anssi, Teflon Brothers, JS16, HesaÄijä & DJ Oku Luukkainen)","Sony Music Entertainment Finland",43,56,3,"125721"
46,"spotify:track:2ykXJ9QVwx9Li8nsW0h6b2","INNA, Sean Paul","UP","WM Poland/WMI",46,67,7,"121855"
47,"spotify:track:3Y7r2Cb5ynmMR18O0yJUM5","JVG","Vamos","WM Finland",1,47,21,"118417"
48,"spotify:track:0E4KuyQA4hHbhHUsc9G7zO","bbno$, JVG, NCO, Rich Brian","edamame (feat. Rich Brian) - JVG x NCO Remix","bbno$, Rich Brian appears courtesy of 88Rising",2,44,13,"116792"
49,"spotify:track:7fYRg3CEbk6rNCuzNzMT06","Calvin Harris, Dua Lipa, Young Thug","Potion (with Dua Lipa & Young Thug)","Columbia",49,-1,1,"111834"
50,"spotify:track:3EfMGeYXw69Saa14torWpK","Cledos, ibe, Averagekidluke, A36","Samma gamla vanliga - Remix","WM Sweden",1,55,38,"110459"
51,"spotify:track:6yZuWA0iFPnk7OlGuCPwQj","JVG, Sak Noel, Franklin Dam","Vamos - Remix","WM Finland",27,27,2,"109037"
52,"spotify:track:4Q7NePRrh6S0WzKMz8CbCA","Pariisin Kevät","Kesäyö","Columbia",19,54,38,"108950"
53,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",7,58,69,"104469"
54,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",27,52,7,"101366"
55,"spotify:track:5240YbVrjRJ9EG79jrpEHF","jambo, william","tarviin tilaa (feat. william)","Sony Music Entertainment Finland",13,50,5,"98845"
56,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",56,95,5,"95794"
57,"spotify:track:6aHVPCIzIovTCYyOEvJu7K","JVG, Märkä-Simo","Häissä (feat. Märkä-Simo)","WM Finland",51,103,56,"93558"
58,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",26,26,2,"93199"
59,"spotify:track:2niYYhmbU5RikSLCWLadwb","JVG","Voitolla yöhön","WM Finland",59,-1,4,"89581"
60,"spotify:track:1pJbvYH5FiR8FVY8Hpx9XX","Intiaanikesä","Neiti Kesäheinä","Universal Music Oy",60,75,66,"88830"
61,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",30,62,13,"88657"
62,"spotify:track:0UMyH8Nd9kQI6UbMgmFgGj","Teflon Brothers","Kendo Anthem","Johanna Kustannus Oy",31,-1,3,"88526"
63,"spotify:track:4RdTteGKG4HIBoduJXy4a8","Miika","Riko mut","Momentum Productions Oy",24,57,7,"88117"
64,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",7,63,70,"87550"
65,"spotify:track:7mazUF8Cqwi3TUZw1ypDoJ","Mouhous","Pahemmaks","WM Finland",9,59,7,"83949"
66,"spotify:track:3i058E8uxTsYqJ5NWZzqSj","Harry Styles","Little Freak","Columbia",30,30,2,"83759"
67,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",67,110,3,"83052"
68,"spotify:track:78ReaLRl6mimo7am9byrTs","Robin","Ohikiitävää - Vain elämää - Unohtumaton ilta","Universal Music Oy",11,76,7,"82343"
