rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2XRn6Qu0Wd1KvOND8JbaTx","Luciano","Beautiful Girl","UMG Recordings, Inc.",1,1,5,"4708326"
2,"spotify:track:6icjOrzM57QrCAtBeWB5WF","Ion Miles, SiraOne, BHZ","Powerade","Sony Music/BHZ",2,2,6,"3060126"
3,"spotify:track:3a0F2N6rXJSibQTp77xH4f","Domiziana","Ohne Benzin","Four Music Local",3,9,2,"2702632"
4,"spotify:track:1W1N3usYjgI3XGQA0iX9Vq","Miksu / Macloud, t-low","Sehnsucht","FUTURA",1,5,13,"2412328"
5,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,3,9,"2358416"
6,"spotify:track:3JXdzlvJJrKlmfBfoCLsOo","t-low, Miksu / Macloud","We Made It","Spinnup",1,4,6,"2288357"
7,"spotify:track:3QY5JrK6MU3ebwlvQ0iniO","DJ Robin, Schürze","Layla","Summerfield Records",7,20,4,"2117701"
8,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",1,6,8,"1764299"
9,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",9,-1,1,"1694919"
10,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",7,7,7,"1584442"
11,"spotify:track:6A3SB2C4U6JtCavQOXLYNN","Benzz","Je M'appelle","Universal-Island Records Ltd.",11,13,4,"1499394"
12,"spotify:track:6GomT970rCOkKAyyrwJeZi","Öwnboss, Sevek","Move Your Body","Musical Freedom",11,11,16,"1492053"
13,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,8,74,"1430759"
14,"spotify:track:3gyRaifTaAoQrwtYiQu9ur","The Ironix, Nullzweizwei","COACHELLA","Between Worlds x VENTURA Records",14,-1,1,"1376196"
15,"spotify:track:5h6yetX656MwIB1jAuAEjI","SDP, Clueso","Die schönsten Tage","Nur Musik Ist Schöner",15,18,5,"1330078"
16,"spotify:track:0vHtlgsJoyA91YMNdImnCL","Lucio101, Ufo361","Hier","Columbia/1019 Records",16,-1,1,"1321406"
17,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",8,14,30,"1301591"
18,"spotify:track:2MrKx1k7CSLryCP1sf3cwl","Domiziana","Ohne Benzin - 1,1x Speed Version","Four Music Local",18,114,2,"1295949"
19,"spotify:track:0h14I7cPYi1RZG6GmVpMso","CIVO","Weg von mir","Good Kid Records & VENTURA Records",1,16,18,"1269531"
20,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",20,33,9,"1251622"
21,"spotify:track:2aFNMpa0JR8tNuyY8UIBS9","Loredana, CÉLINE, Miksu / Macloud","Ballade","Loredana",21,-1,1,"1224508"
22,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",4,19,44,"1216928"
23,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",13,27,28,"1196498"
24,"spotify:track:4FXX4P3dxc1JMBx5wVRJ5N","Tream, treamiboii, HBz","LEBENSLANG - HBz Remix","HBzMusic",20,23,15,"1189978"
25,"spotify:track:6sS77FZh2eJfYBsFUW6hjI","Julian Sommer","Dicht im Flieger","Electrola",24,24,10,"1168777"
26,"spotify:track:3EngNejou3x0co3Ed68X7U","Romero","Sie Liebt Techno","Epic Local",14,22,7,"1156801"
27,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",9,26,42,"1139242"
28,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",13,29,13,"1136829"
29,"spotify:track:2xSIcmvFQHs2CeS34Mgp62","Leony","Remedy","Kontor Records",5,25,17,"1127015"
30,"spotify:track:52c2AgZdJgB34tYvo9uL20","Bozza, badmómzjay, Kool Savas, Sido","Nie mehr zurück (feat. Kool Savas & Sido)","Def Jam Germany",15,15,2,"1055499"
31,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",8,31,42,"1042811"
32,"spotify:track:15UnoXqXqhniJdpYjsa7DR","Maxwell, Bonez MC","Becher voll Schnapz","187 Strassenbande",32,-1,1,"1018688"
33,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",33,-1,1,"1002214"
34,"spotify:track:3sa06xVNmLLYIxdNNmVQN8","Jax Jones, MNEK","Where Did You Go? (feat. MNEK)","Polydor Records",25,32,11,"997026"
35,"spotify:track:6NEOchaTtFcnUR4pqDBJVf","t-low, Ufo361","Airbnb","Spinnup",4,10,3,"993772"
36,"spotify:track:1YLA2jrLroXemGxfiFsvoa","Summer Cem","RATCHET","Banger Musik/WM Germany",36,-1,1,"983071"
37,"spotify:track:0LTn3UoaJkL42ltlGwWMxC","Malik Harris","Rockstars","Better Now Records",10,28,8,"972856"
38,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",30,36,4,"969538"
39,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",15,44,65,"965688"
40,"spotify:track:2Oi1IJ6JEUX1aya9VUAA1Z","RAF Camora, Bonez MC","Blaues Licht","Indipendenza",1,38,45,"959364"
41,"spotify:track:5STeQZH1Ahz3h0X9Njaij7","t-low","Crashen","Spinnup",16,39,47,"944229"
42,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",2,41,38,"931611"
43,"spotify:track:2MLIRLTx41VStC8Z5NJEG6","ClockClock","Sorry","WEFOR",18,42,11,"925810"
44,"spotify:track:5KTBaWu8IOczQ0sPWzZ7MY","Rammstein","Dicke Titten","Rammstein",18,118,5,"912993"
45,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",12,12,2,"906650"
46,"spotify:track:5t8abSvRpCuaLyDpRor2gD","Dardan, RAF Camora","OBSESSED (feat. RAF Camora)","Hypnotize Entertainment",7,35,4,"870428"
47,"spotify:track:7z5G2LOdV8okZn4yWg3q5g","A1 x J1, Tion Wayne","Night Away (Dance) (feat. Tion Wayne)","EMI",25,48,13,"864558"
48,"spotify:track:2H7jZg2HliuQhZjfBblLrZ","Pashanim","Sommergewitter","Urban",1,43,49,"857646"
49,"spotify:track:5gRXyFtArVXYk8OOSWIXBO","Endzone, TM","61 Grad (Deep House RMX)","2Live Entertainment",49,55,13,"844983"
50,"spotify:track:6TBO3jyheCzj6P64HJlIJ4","HoodBlaq","Siedlung","Columbia/BE.ELA.QU GmbH",50,-1,1,"828796"
51,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",2,49,33,"826946"
52,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,47,47,"826155"
53,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",4,51,31,"823760"
54,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",54,60,3,"819661"
55,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",1,52,29,"799299"
56,"spotify:track:3Oww84xrmgjyr5J1ilOmAf","Luude, Colin Hay","Down Under (feat. Colin Hay)","Sweat It Out",3,50,22,"796835"
57,"spotify:track:2hBkoDhuGk2AtSCprEFDFP","Ray Dalton, Alvaro Soler","Manila","Epic Local",27,54,18,"770835"
58,"spotify:track:3BTlSQSvdJVRfX6qct45Vv","Kollegah","VIKING","ALPHA MUSIC / igroovemusic.com",58,-1,1,"758331"
59,"spotify:track:5u8Y0lAUlBLwuhpXSDUGf4","Felix Jaehn, The Stickmen Project, Calum Scott","Rain In Ibiza","Virgin",59,66,8,"742635"
60,"spotify:track:2CewvqbfMOcnvYE3yayAJV","KAMRAD","I Believe","Epic Local",58,82,18,"731078"
61,"spotify:track:6pQRKOHbKYeTFA1REyVzvo","Zuna","Neapel","KMN Gang",61,-1,1,"728145"
62,"spotify:track:1TM2i0pjWHpus4t3p6zs0V","Silva","Jumper","Urban",28,63,10,"717066"
63,"spotify:track:6ChnGkBwnq2HUJD24YhMhW","Cheriimoya, Sierra Kidd","Living Life, In The Night","Cheriimoya",63,70,14,"703034"
64,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",11,74,35,"699457"
65,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",8,67,45,"698194"
66,"spotify:track:2sFsvaMRe8PKo5AFdBE9qC","Montez","Auf & Ab","Vertigo Berlin",1,86,44,"697118"
67,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",67,179,2,"685733"
68,"spotify:track:2pLeoBNJiGlbZkyf84z5hJ","01099, Gustav, Zachi, AVO","Durstlöscher","01099",13,85,54,"679751"
69,"spotify:track:3oasmleiIlQ7e38yzbXHkg","Chapo102, 102 Boyz, Khrome","WARUM TUT ES SO WEH","JINX Music",69,-1,1,"676638"
70,"spotify:track:3eJH2nAjvNXdmPfBkALiPZ","Jason Derulo","Acapulco","Atlantic Records",24,65,39,"675809"
71,"spotify:track:7fYRg3CEbk6rNCuzNzMT06","Calvin Harris, Dua Lipa, Young Thug","Potion (with Dua Lipa & Young Thug)","Columbia",71,-1,1,"664815"
72,"spotify:track:1YfKs14w8DF5Sp4QNyoyGK","Capo","HIMALAYA","Capo Distributed/WM Germany",30,30,2,"657666"
73,"spotify:track:5r43qanLhUCdBj8HN3fa6B","OneRepublic","Sunshine","Mosley Music/Interscope Records",47,71,13,"647156"
74,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,80,49,"646767"
75,"spotify:track:75UUG6x5zQe0gCVOiQpa6X","Purple Disco Machine, Sophie and the Giants","In The Dark","Positiva",32,72,14,"645470"
76,"spotify:track:0PoorhuDSZ7hgvFT7C6fgf","01099, CRO","Glücklich","01099",4,73,10,"644217"
77,"spotify:track:7l9IqDtVWJurTvkQHq1BGh","Tate McRae","she's all i wanna be","RCA Records Label",52,104,17,"641265"
78,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",52,95,84,"634965"
79,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",10,84,37,"632787"
80,"spotify:track:6fuO9uk9wbjCHvQJqk2Qpx","Pashanim, skrilla","paris freestyle - skrilla remix","Urban",1,90,32,"628078"
81,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",81,134,2,"628012"
82,"spotify:track:4RHDWNlp4yrk54rQATSiQK","Chapo102, 102 Boyz","MISSED CALLS","JINX Music",8,100,10,"622633"
83,"spotify:track:3pigpb8JVOzVaUNETKsfK7","Soso Mcr, Haftbefehl, Celo & Abdi","Welle hin, Welle her","Walk This Way Records",83,-1,1,"622612"
84,"spotify:track:4YG7YYGkEliFRoxF1zM3FQ","Silva","Silva ist da","Urban",84,-1,1,"621405"
85,"spotify:track:7DwcBgdzqhFJltEaV1XF81","Post Malone, Roddy Ricch","Cooped Up (with Roddy Ricch)","Mercury Records/Republic Records",40,62,3,"620810"
86,"spotify:track:5Th2Rs48Gz3iqfcGMXG5PC","1986zig","Kopf aus","Good Kid Records & Polydor x Island Records",1,106,18,"599727"
87,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",87,116,62,"597335"
88,"spotify:track:1WCEAGGRD066z2Q89ObXTq","David Guetta, Becky Hill, Ella Henderson","Crazy What Love Can Do","Parlophone UK",50,94,8,"596216"
89,"spotify:track:3I10tZ5MgEMo4WryCNJkZQ","Shouse","Won't Forget You - Edit","Hell Beach",43,81,11,"594428"
90,"spotify:track:3wPPWcVuinAU7dXcJXtCID","Naughty Boy, Sam Smith","La La La","Virgin Records Ltd",90,-1,1,"592891"
91,"spotify:track:47t1PYELD1EKTyttzWxCMt","LX, Bonez MC","Traphou$e","187 Strassenbande",91,-1,1,"590586"
92,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",37,105,52,"589061"
93,"spotify:track:0TBylB8tjwqp4YHSrwRJQQ","Gzuz","Späti","187 Strassenbande",2,96,33,"585970"
94,"spotify:track:59CfNbkERJ3NoTXDvoURjj","Dove Cameron","Boyfriend","Disruptor Records/Columbia",23,115,16,"585430"
95,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",37,37,2,"583608"
96,"spotify:track:2KsHzM4L7ThhNJB6MHXkPx","Rammstein","Zeit","Rammstein",12,99,10,"583285"
97,"spotify:track:6ja1pPQ6oSw9GdVYq3Dj13","KALIM, XATAR","Spaghetti (feat. XATAR)","Urban",97,-1,1,"574905"
98,"spotify:track:0FKw2vfEDxDuRisr4kU8Ok","RAF Camora, Luciano","2CB","Indipendenza",1,101,38,"566512"
99,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",61,107,75,"565165"
100,"spotify:track:0k5UCvZ1BDP28db9y7OymD","Farid Bang, Capital Bra, Kollegah","MOLOTOV","Farid Bang/WM Germany",17,17,2,"564859"
101,"spotify:track:6VcBDMF2ykm5HDcJMVLRZW","Glockenbach, ClockClock","Brooklyn","WEFOR",28,102,24,"564693"
102,"spotify:track:2jJYSVkH1z0bm4eHQ6GeLM","Django, Biggie68","Shank On Me","NWD",21,83,4,"555804"
103,"spotify:track:2FeBslNBMdR9V58uv6hd2t","Kendrick Lamar","N95","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",21,56,3,"543719"
104,"spotify:track:3v9DvZB5rc0x9CkGsPJgsb","Asche, Genetikk","November Regen","Asche",104,-1,1,"541835"
105,"spotify:track:1kwHrBWAlucOE57lWugotk","Felix Jaehn, Zoe Wees","Do It Better (feat. Zoe Wees)","Virgin",105,-1,1,"541336"
106,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",65,143,5,"540896"
107,"spotify:track:7rhfRaybfxTAjuzih3xWpc","01099, Gustav","Frisch","01099",22,124,64,"534895"
108,"spotify:track:7EHEVPIFS6mOq4BOhlVL3i","CRO","letzter song","Urban",91,91,6,"534876"
109,"spotify:track:171R26eMo3gFkKfR1wyuPa","Dardan, OMAR","PRIME (feat. OMAR)","Hypnotize Entertainment",21,21,2,"534486"
110,"spotify:track:7s3VxmIizcDgDTRCA4kDzd","CRO","Traum","BMG Rights Management",88,97,20,"533779"
111,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,121,55,"529881"
112,"spotify:track:3RM5RpRDDdST1njqOMG141","Culcha Candela","Monsta","Sony Music/CULCHA SOUND",93,123,21,"529151"
113,"spotify:track:2USlegnFJLrVLpoVfPimKB","Gabry Ponte, LUM!X, Prezioso","Thunder","Spinnin' Records",54,111,52,"528929"
114,"spotify:track:2w7Ca8DNYXBCgA6Bht7o0N","Rammstein","Zick Zack","Rammstein",16,119,8,"527734"
115,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",14,126,44,"526116"
116,"spotify:track:79lc69ZXfL4WmJIzVSDmWT","187 Strassenbande, Bonez MC, Frauenarzt","Extasy","187 Strassenbande",1,145,56,"525965"
117,"spotify:track:0r1kH7SIkkPP9W7mUknObF","CRO","Easy","BMG Rights Management",73,89,6,"525265"
118,"spotify:track:1HvTxgCj0mTzQlEo0zLvFb","Lil Tjay","In My Head","Columbia",5,112,9,"522355"
119,"spotify:track:5CJqhXiUiK2rVowtbeLjyd","Bonez MC, LX, The Cratez","Bob Marley","GOLD LEAGUE/RBK",7,98,5,"521209"
120,"spotify:track:2xFMvrqk99biaLQavjufta","Sido","Mit Dir","Urban",3,122,28,"517106"
121,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",4,108,68,"514064"
122,"spotify:track:3CQhud304mI5VmW6EjoTDg","SDP, Montez","Wie viele Lieder muss ich noch schreiben?","Nur Musik Ist Schöner",5,136,14,"512758"
123,"spotify:track:3i058E8uxTsYqJ5NWZzqSj","Harry Styles","Little Freak","Columbia",45,45,2,"510040"
124,"spotify:track:3ZDXLSUZpKx8pspNBOdVr5","RAF Camora, Ahmad Amin","Vergesse nie die Street","Indipendenza",20,135,39,"509836"
125,"spotify:track:40mI1rlWiHarvMDtBvPnhW","t-low","Ordentlich","Spinnup",12,120,36,"508731"
126,"spotify:track:2LDXOPzRcuEYxaSkjZCCUh","FOURTY, Mathea","WENN DU MICH VERMISST","Life Is Pain",6,128,16,"507633"
127,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,125,145,"507465"
128,"spotify:track:6kwAbEjseqBob48jCus7Sz","Sia","Elastic Heart","Monkey Puzzle Records/RCA Records",128,-1,1,"507404"
129,"spotify:track:5YHdRUzLWIJCBv7oSlItvA","Liaze","PARADISE","Still Alive",129,-1,1,"505540"
130,"spotify:track:0j0gyIMlVkrpA98rGxyud8","Tream, HBz","Goldmarie","Virgin",130,-1,1,"504326"
131,"spotify:track:2dF8ClGQHJOfbViVG3dz6Y","SDP, 257ers","Scheiße baut sich nicht von alleine","Nur Musik Ist Schöner",56,129,9,"503602"
132,"spotify:track:5LYMamLv12UPbemOaTPyeV","Harry Styles","Music For a Sushi Restaurant","Columbia",40,40,2,"500175"
133,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",133,152,7,"499306"
134,"spotify:track:4h6UIDvGWTYZvu4BLf2GpO","SXTN","Von Party zu Party","JINX Music",60,141,87,"498305"
135,"spotify:track:0UuNO0yYvsMPlyLF7RfQlg","Rammstein","Angst","Rammstein",11,138,5,"498090"
136,"spotify:track:514GW1c9Jn21KgZmO6mZIE","Rammstein","Armee der Tristen","Rammstein",15,137,5,"497400"
137,"spotify:track:6gBh1fdvpRwur2KC31UomA","Azet","Gotat","KMN Gang",34,34,2,"496361"
138,"spotify:track:5h1Zdr8ghV5RaWjtdfVo8w","MERO, Murda","Konum Gizli (feat. Murda)","Urban",14,75,3,"490668"
139,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,140,131,"487084"
140,"spotify:track:5UFbfXuj4TjirzmcvTFBBy","CRO","Bad Chick","BMG Rights Management",109,110,17,"485560"
141,"spotify:track:51Zw1cKDgkad0CXv23HCMU","Harry Styles","Daylight","Columbia",58,58,2,"483087"
142,"spotify:track:05Mp2UJulSttxQ4E6hQPH3","Bonez MC, RAF Camora, Maxwell","Ohne mein Team","UMG Recordings, Inc.",9,133,257,"480357"
143,"spotify:track:2FQRZLR31e3423Nmrgv0Pv","KUMMER, Fred Rabe","DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)","Eklat Tonträger",2,150,29,"478918"
144,"spotify:track:0K6QpySe2WtrAR2wXKheVh","Juju, Chapo102, Philipp Poisel","Erkläre mir die Liebe","JINX Music",10,131,6,"477573"
