rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:21xcnEC8ZIr8nTtI8xyDeS","TOQUEL, Sin Laurent","Panorama","Minos - EMI SA Distribution Deals",1,-1,1,"798758"
2,"spotify:track:3QGiHTjiRmfsOT3VoLhiCn","TOQUEL, For3al, Beyond","Kokkina Matia","Minos - EMI SA Distribution Deals",2,-1,1,"790422"
3,"spotify:track:5j2qq0EBEAceOdff92l4qZ","TOQUEL","Beverly Hills","Minos - EMI SA Distribution Deals",3,4,3,"732926"
4,"spotify:track:2oAoWaGzQeq8JMywmukQ8J","Hawk, Baghdad","CELINE","Above The Hood",1,1,2,"677920"
5,"spotify:track:0qQiT7KDAZGP1WdkWvqNah","TOQUEL, Sin Laurent","Platina","Minos - EMI SA Distribution Deals",5,-1,1,"660449"
6,"spotify:track:61BaxNqs8df4B4Vtndb9DE","Mad Clip, Light, Skive","Nani","Mad Clip",1,2,6,"634453"
7,"spotify:track:3BEciTHKrT0WUZuov9Yjod","TOQUEL, Sin Laurent, Beyond","Moneydance","Minos - EMI SA Distribution Deals",7,-1,1,"549736"
8,"spotify:track:6YfzfBiC4dpF5yv63QcLCY","TOQUEL","Skoni","Minos - EMI SA Distribution Deals",8,-1,1,"545620"
9,"spotify:track:1VFPvrQDTooFe86v4PXcZH","TOQUEL, FLY LO","Koko","Minos - EMI SA Distribution Deals",9,-1,1,"544512"
10,"spotify:track:1I8WeuAQ7UAfLZiExVRiKt","Trannos","Ibiza","Capital Music",3,3,2,"526199"
11,"spotify:track:0PUzUn6NlCsVeomsUg9SKx","TOQUEL, SIDARTA, Beyond","Palmous","Minos - EMI SA Distribution Deals",11,-1,1,"509663"
12,"spotify:track:1ob6WCVuZIO5qk7jiRrHjn","Trannos","Tropicana","Capital Music",12,-1,1,"506516"
13,"spotify:track:5aGpvjdwveeWmclir7dLtL","TOQUEL, Sin Laurent","Giousef","Minos - EMI SA Distribution Deals",13,-1,1,"483611"
14,"spotify:track:2xdG3MPGdmb2u57RKwQF34","Fy, Mc Daddy, Display","Nisi","Capital Music",2,5,4,"422943"
15,"spotify:track:3KNWjZgf92VwvWAselZ6sP","Kings, Trannos","Madame","Panik Records",1,8,7,"408753"
16,"spotify:track:3gMkuoFyby1uUf7rR7y8Km","Konstantinos Argiros, Light","Iliovasilema - (Part 2 - Fos)","Panik Platinum",5,11,5,"348855"
17,"spotify:track:78nfY5wYgSi0wiJYTGvB1E","Bossikan, Chico Beatz","Karatia","Minos - EMI SA Distribution Deals",9,9,3,"280362"
18,"spotify:track:2Q9BOwAeBObjeacLITrmYf","Stan, Light, Skive","Alitisa","Panik Entertainment Group under exclusive license from ICON MUSIC and Capital Music",6,12,4,"271310"
19,"spotify:track:7kZXDFinAIgKUgpYAJltsr","Hawk, Spine, Baghdad","BERLUSCONI","Above The Hood",6,6,2,"256399"
20,"spotify:track:7tinplmYprGgvwrdzNXnO8","Trannos","Prada","Capital Music",20,-1,1,"236998"
21,"spotify:track:79M61YYANlU2TES9uz4dj0","Hawk, Baghdad","BLUE NOTE","Above The Hood",7,7,2,"232093"
22,"spotify:track:2ERAk3pDcHIlYFMLS1kr1n","Jitano, Trannos, Thug Slime","Lamogia","Capital Music",2,20,9,"218394"
23,"spotify:track:4yKBuyaSXW5opFSq6gYebF","Trannos, Light, Stanley","OPLO","Capital Music",1,36,25,"205623"
24,"spotify:track:27GSRTfL7fEnLAEr3fB5YX","Saske, Beyond, Issy Beats","PADOU","OffBeat Records",2,24,17,"205231"
25,"spotify:track:3OGv5aAfxKGmkstUtsfFUC","LEX, Dof Twogee","Air Max","Lex",4,15,3,"194197"
26,"spotify:track:4XtCM0qWk51wpqwaOTrSmc","Hawk, Tsaki, Baghdad","GINA","Above The Hood",10,10,2,"192250"
27,"spotify:track:5bdbXIxgXypX6Smwcn5vox","Mad Clip, Light, Red face","Parto Habari","Mad Clip",2,19,6,"190834"
28,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",3,25,9,"186396"
29,"spotify:track:4sHGVE7twEnFddJ3DqyWXs","SNIK, VLOSPA, Oge","Trafficante","Minos - EMI SA Distribution Deals",1,27,16,"183626"
30,"spotify:track:0BpDTIpvyO7e7pGMP5iD7X","Thug Slime","Bonnie & Clyde","Capital Music",4,29,8,"181948"
31,"spotify:track:6CdE60o6FN8FtJikF580M4","Lau Jr, Bossikan, FLY LO","Ring Ring","Minos - EMI SA Distribution Deals",2,32,7,"180433"
32,"spotify:track:7jmkuBZeH5lezHZ3iu3YH1","Trannos","Paparazzi","Capital Music",32,-1,1,"177048"
33,"spotify:track:795mH2Abs2KEIEb2ckVaCj","Trannos, Stef Tony","Pornstar","Capital Music",33,-1,1,"170284"
34,"spotify:track:7IokpTW54OgzPu6Q3fkVHn","TOQUEL, Rack","Aftoktonia","Minos - EMI SA",1,60,26,"169456"
35,"spotify:track:7bohfOpcSFE5cE4zBpt0ST","Josephine","Tilefono","Panik Records",20,38,7,"166073"
36,"spotify:track:3W746nqh3LubksIyn92lHa","Hawk, Saske","YEEZY","Above The Hood",13,13,2,"163822"
