rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"45459"
2,"spotify:track:6uU1QhxwtrnOdALd4K1nBs","Daniil, Joey Christ","EF ÞEIR VILJA BEEF","Alda Music",1,2,4,"42975"
3,"spotify:track:50Cf2eYv8zT3v2HAkwhIiL","Subwoolfer","Give That Wolf A Banana","Universal Music AS",1,3,9,"29608"
4,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",4,-1,1,"25314"
5,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",4,4,2,"24315"
6,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH","Stefania (Kalush Orchestra)","Columbia Local",3,6,4,"23917"
7,"spotify:track:3ovhC4v5a73S0afcOHhnu2","Hafdís Huld","Dvel ég í draumahöll","Alda Music",1,13,194,"21716"
8,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",7,15,5,"20660"
9,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",6,18,42,"19685"
10,"spotify:track:1l2AHO7bb47QGFKJmXhXMz","Hafdís Huld","Litlar stjörnur","Alda Music",3,21,161,"18721"
11,"spotify:track:5Auwr1gG48JrSOVUac4F5T","ISSI, Izleifur, Gísli Pálmi, Yung Nigo Drippin'","Vakta Svæðið","Alda Music",5,5,2,"18498"
12,"spotify:track:7teFuwH2migyw406oQEEWW","FM95BLÖ, Aron Can","Aldrei Toppað","Alda Music",1,16,5,"18438"
13,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,25,74,"18379"
14,"spotify:track:5LYMamLv12UPbemOaTPyeV","Harry Styles","Music For a Sushi Restaurant","Columbia",7,7,2,"17807"
15,"spotify:track:5myQVDBhZvE7DIvsQICuKn","Hafdís Huld","Óskasteinar","Alda Music",4,27,172,"17728"
16,"spotify:track:0Xh9sOCT7ZvmKg8KthRYnH","Hafdís Huld","Sofðu unga ástin mín","Alda Music",6,28,166,"17292"
17,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",2,24,8,"16900"
18,"spotify:track:1MWg9aH6OhteqF1RXR3J5w","Hafdís Huld","Sofa urtubörn","Alda Music",8,30,149,"16213"
