rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7lvDsmTRXFE3dK4OjvRiWB","Shae Gill, Ali Sethi","Pasoori","Giraffe Pakistan",1,1,15,"5643403"
2,"spotify:track:0snQrp1VaY5Pj1YIHRJpRJ","Aditya A","Chaand Baaliyan","Sony Music Entertainment India Pvt. Ltd.",2,2,15,"3753637"
3,"spotify:track:7B4uYqxTpTOS1sgxFB9Ann","Sidhu Moose Wala","The Last Ride","Sidhu Moose Wala",3,56,3,"3716110"
4,"spotify:track:29m79w9xPMH4YCD6r8JSmV","AP Dhillon, Gurinder Gill, Intense","Excuses","RUN-UP RECORDS",1,3,32,"3588538"
5,"spotify:track:5W7DOVGQLTigu09afW7QMT","Sidhu Moose Wala","295","Sidhu Moose Wala",4,-1,16,"3229477"
6,"spotify:track:5B4YQN1FCuADJ0o4phAtwC","Shubh","NO LOVE","Malsons-Shubh",5,5,12,"3132166"
7,"spotify:track:6yvxu91deFKt3X1QoV6qMv","Anirudh Ravichander, Jonita Gandhi","Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Sun Pictures",2,4,16,"2737504"
8,"spotify:track:2FZDNh6tm9mkZ9vTphuAh8","Pritam, Tanishk Bagchi, Neeraj Shridhar","Bhool Bhulaiyaa 2 Title Track","T-Series",7,7,5,"2569020"
9,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",5,6,9,"2346528"
10,"spotify:track:4PwTeFfKqmR3XIeXXUBDOf","Sachet-Parampara, Sachet Tandon","Maiyya Mainu (From ""Jersey"")","Zee Music Company",5,9,25,"2297941"
11,"spotify:track:60YICjIPdL7LDBcCMK0tAk","Sidhu Moose Wala, Sunny Malton, The Kidd","Levels","Sidhu Moose Wala",11,-1,1,"2252890"
12,"spotify:track:4hcIkSjuNMYd2bREG38xgH","Ravi Basrur, Ananya Bhat","Mehabooba","MRT Music",4,8,7,"2184128"
13,"spotify:track:2vkNA9I029dTwX0y6d59Sc","Anirudh Ravichander, Anthony Daasan","Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")","Sony Music Entertainment India Pvt. Ltd.",13,13,6,"2164369"
14,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",3,10,46,"2119457"
15,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Kingsclan Records",6,12,70,"2065084"
16,"spotify:track:5WWplXimzIjlJiN2N7T9Q3","Anirudh Ravichander, Kamal Haasan","Pathala Pathala (From ""Vikram"")","Sony Music Entertainment India Pvt. Ltd.",10,14,3,"2027977"
17,"spotify:track:605r6rtj7kBlJwZWmYx1Dt","Shubh","WE ROLLIN","Malsons-Shubh",12,15,27,"1996404"
18,"spotify:track:2rOnSn2piaqLAlYjtfUBlY","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,11,44,"1984490"
19,"spotify:track:3JkVYvxNoGf2HCWJo61462","Sidhu Moose Wala, Sunny Malton","Never Fold (feat. Sunny Malton)","Sidhu Moose Wala",19,71,6,"1761493"
20,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",12,16,22,"1702940"
21,"spotify:track:6r8nR2JGKT9k4lnaSTdKkZ","Ali Zafar","Jhoom R&B Mix","Lightingale Records",21,30,3,"1670864"
22,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,17,47,"1666825"
23,"spotify:track:6eYsOcDdB5b6rTO5ubMxeV","Anirudh Ravichander, Jonita Gandhi","Private Party (From ""Don"")","Sony Music Entertainment India Pvt. Ltd.",23,25,5,"1661090"
24,"spotify:track:72zHuDxFQTjbL51qJQSA7j","Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,19,43,"1655169"
25,"spotify:track:4iEGv5Ne6HuCkFCjzxdWQK","Neeti Mohan","Meri Jaan","Saregama",11,18,14,"1558403"
26,"spotify:track:1skGwRjc7wYY70PJCAkKMr","Sidhu Moose Wala, AR Paisley","Love Sick (feat. AR Paisley)","Sidhu Moose Wala",26,-1,4,"1438533"
27,"spotify:track:46NYX9zIml71qtfYYjakTI","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya Audio Teaser (From ""Brahmastra"")","Sony Music Entertainment India Pvt. Ltd.",10,20,7,"1433778"
28,"spotify:track:2l3dFxtoSMgMQVyRIUHjpz","Mitraz","Akhiyaan","Mitraz Records",23,23,5,"1433069"
29,"spotify:track:1w3exvIgbRFV2ijf6qyWm8","Sidhu Moose Wala","Everybody Hurts","Sidhu Moose Wala",29,-1,5,"1425440"
30,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",29,33,55,"1416333"
31,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",23,28,27,"1403030"
32,"spotify:track:4HdzYTQiouB9BVYX7JOrhh","Anirudh Ravichander, Rokesh","Jalabulajangu (From ""Don"")","Sony Music Entertainment India Pvt. Ltd.",21,21,24,"1388523"
33,"spotify:track:2tMoOS9grHtn4upzb4LwMG","Dhibu Ninan Thomas, Kapil Kapilan","Adiye - From ""Bachelor""","Think Music",16,29,26,"1375474"
34,"spotify:track:1iZLpuGMr4tn1F5bZu32Kb","Harrdy Sandhu","Bijlee Bijlee","Universal Music India Pvt Ltd.",2,27,31,"1361625"
35,"spotify:track:2FCXQHugkoHE1K3tiDu8pu","Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","T-Series",4,26,157,"1344854"
36,"spotify:track:5L70RGPJEdooqtrgR7vd6U","Pritam, Arijit Singh, Tulsi Kumar","Hum Nashe Mein Toh Nahin","T-Series",36,37,3,"1317615"
37,"spotify:track:3Vmo13MxVRKBszmfK61ONH","Karan Aujla, YG","Gangsta","Rehaan Records",21,22,4,"1296106"
38,"spotify:track:6FQQiTpYnfc5803p84bQp1","Anirudh Ravichander","Vikram - Title Track","Sony Music Entertainment India Pvt. Ltd.",38,45,3,"1263047"
39,"spotify:track:5pcmtf1lwrMqmAWWm248fY","AP Dhillon, Gurinder Gill, Various Artists","DESIRES","RUN-UP RECORDS",2,32,28,"1249576"
40,"spotify:track:5urYiIXu1ZhfMAOsp7WDTc","Yasser Desai, Neha Kakkar, Rajat Nagpal","Dil Ko Karaar Aaya (From ""Sukoon"")","Desi Music Factory",3,24,54,"1247667"
41,"spotify:track:3UhmuWcFaLS3AO3kI9ynQ2","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","Insane","RUN-UP RECORDS",3,34,59,"1247600"
42,"spotify:track:3gOXq3FPPesm7VLPKmef6j","A.R. Rahman, Arijit Singh, Shashaa Tirupati","Rait Zara Si","T-Series",12,35,26,"1242666"
43,"spotify:track:7k6QR9YHyW258yVN6FHO1T","OAFF, Savera, Lothika, Kausar Munir","Doobey","Sony Music Entertainment India Pvt. Ltd.",2,31,19,"1228285"
44,"spotify:track:1ZiReD9pPTttQWwSoYqdyH","Dikshant","Aankhon Se Batana","Sony Music Entertainment India Pvt. Ltd.",38,38,6,"1219411"
45,"spotify:track:6btas8Eignhw8yKp4VJvGi","Shubh","ELEVATED","Malsons-Shubh",45,51,22,"1204400"
46,"spotify:track:0gPgdRfB4jdGrlyXS0Vx78","Vishal-Shekhar, KK, Shilpa Rao","Khuda Jaane","YRF Music",46,-1,1,"1198671"
47,"spotify:track:2RgvvnMwtP0R2OkVZmFvnV","KK","Ajab Si (From ""Om Shanti Om"")","T-Series",47,-1,22,"1190717"
48,"spotify:track:3yV2c3cYhkAwSsxAq6nRiv","Gajendra Verma","Mann Mera (From ""Table No. 21"")","Eros Music",42,46,64,"1186441"
49,"spotify:track:7fW9J3EpVWVN1ouv0slAs0","KK","Kya Mujhe Pyar Hai (From ""Woh Lamhe"")","T-Series",49,-1,19,"1184092"
50,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",16,40,44,"1167716"
51,"spotify:track:2qxmye6gAegTMjLKEBoR3d","Alec Benjamin","Let Me Down Slowly","2018",34,42,112,"1164423"
52,"spotify:track:1AueyZtYgEluDu54CfCSKy","Gurinder Gill","Brown Munde","Silence Recordz",1,44,80,"1154075"
53,"spotify:track:7sVEoPc5ZUUQerRkgTypUZ","Javed Ali, Devi Sri Prasad","Srivalli (From ""Pushpa The Rise Part - 01"")","T-Series",4,41,19,"1153390"
54,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",6,39,45,"1148156"
55,"spotify:track:18YHbIhrleUkKKj2DvEp79","Pritam, KK","Zara Sa","Sony Music Entertainment India Pvt. Ltd.",55,-1,1,"1113966"
56,"spotify:track:7cVe3mYMIfhOlz1NXFWv70","Sidhu Moose Wala","0 to 100","Sidhu Moose Wala",56,-1,4,"1111291"
57,"spotify:track:5D507IC1VOAg7bKkmOblr6","Anirudh Ravichander, Adithya RK","Bae (From ""Don"")","Sony Music Entertainment India Pvt. Ltd.",50,50,17,"1106796"
58,"spotify:track:5WzfGg2ueNoOS5aIkaR9qX","Arijit Singh, Rupali Moghe","Atak Gaya - Arijit Singh","Zee Music Company",29,47,8,"1106702"
59,"spotify:track:1smFN2CLqGROu0J0UyvDfL","Pritam, Arijit Singh","Shayad","Sony Music Entertainment India Pvt. Ltd.",1,49,124,"1092605"
60,"spotify:track:0SeQF0O4k5Fj91qZOspKYe","Ananya Bhat","Mehabooba","Lahari Music",11,36,7,"1087776"
61,"spotify:track:0tpwqQhdfJXRcUDSNRjb9O","Arijit Singh, Neeti Mohan, Rashmi Virag","Mere Yaaraa (From ""Sooryavanshi"")","T-Series",20,48,31,"1052745"
62,"spotify:track:2NTVtNcpC0i1R7LVGaCZCF","Badshah, Nikhita Gandhi","Jugnu","Universal Music India Pvt Ltd.",5,54,31,"1007443"
63,"spotify:track:2Fv2injs4qAm8mJBGaxVKU","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","T-Series",2,53,157,"1005312"
64,"spotify:track:7mNZUnDWUDidWBFaUpVtOC","Vilen","Chidiya","Darks Music Company",4,58,101,"984173"
65,"spotify:track:56b4SXw2KGclrY0yzRpvMF","Ravi Basrur, Adithi Sagar","The Monster Song (From ""KGF Chapter 2"")","Hombale Music",18,43,6,"968986"
66,"spotify:track:4wCy7erulqUfFQNVaZBD9b","Anirudh Ravichander","Once Upon a Time","Sony Music Entertainment India Pvt. Ltd.",66,149,2,"963011"
67,"spotify:track:5z5fzo9PyIehwSyRqT4ogl","Ali Zafar","Jhoom","Lightingale Records",66,66,2,"953637"
68,"spotify:track:3Kl8p2PxVf8eAayLwTxOIm","Pritam, KK","Dil Ibaadat","Sony Music Entertainment India Pvt. Ltd.",68,-1,1,"947187"
69,"spotify:track:1y1rQTkWmrZdJmjwuK07GC","Vishal Mishra","Kaise Hua (From ""Kabir Singh"")","T-Series",5,57,155,"924310"
70,"spotify:track:5O932cZmzOZGOGZz9RHx20","Pritam, Arijit Singh","Khairiyat","T-Series",1,60,143,"918309"
71,"spotify:track:2tjWCe2W7sgvS3C8NHcdtI","Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob","Duniyaa (From ""Luka Chuppi"")","T-Series",1,62,171,"914626"
72,"spotify:track:1aQ58u4guUf999iQX3J2HF","Anirudh Ravichander","Beast Mode (From ""Beast"")","Sun Pictures",6,52,8,"906988"
73,"spotify:track:6lpbzOMBOYHRsp6WEMvRvn","Thalapathy Vijay, Anirudh Ravichander","Jolly O Gymkhana (From ""Beast"")","Sun Pictures",15,59,11,"899949"
74,"spotify:track:48QmG1dfvMuYLxMPt7KSRA","Sean Paul, Dua Lipa","No Lie","Universal-Island Records Ltd.",19,61,29,"889130"
75,"spotify:track:5nsET7aVWXu017lsQjRFCV","Stebin Ben, Nilesh Ahuja, Kumaar","Thoda Thoda Pyaar","Zee Music Company",9,63,64,"868935"
76,"spotify:track:0tjnLIbuF8mwLUKq3CNIdH","Sachet Tandon, Parampara Tandon, Sachin-Jigar","Jug Jug Jeeve","T-Series",29,65,29,"857445"
77,"spotify:track:32LKwbmh6yVsWoRRF8DIvf","Pav Dharia","Na Ja","Ishtar-White Hill Music",50,115,30,"856025"
78,"spotify:track:2L1OXzqVPpVxotHfLglUcB","Diljit Dosanjh, Tory Lanez, Ikky","Chauffeur","Warner Music India",31,55,7,"855796"
79,"spotify:track:7eQl3Yqv35ioqUfveKHitE","Pritam, Mohit Chauhan","Tum Se Hi","T-Series",56,64,115,"850407"
80,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment/Interscope Records",6,70,38,"839002"
81,"spotify:track:2zQE8TE5BQDJA11ggnope9","Sidhu Moose Wala, Bohemia","These Days (feat. Bohemia)","Sidhu Moose Wala",12,-1,17,"829889"
82,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,74,154,"823198"
83,"spotify:track:4gvrJnKCKIPiacNsWVQwEU","CKay, Dj Yo!, AX'EL","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","WM South Africa",4,72,37,"822199"
84,"spotify:track:3szxldqiYs7nkvtmooRod8","Indravathi Chauhan","Oo Antava Oo Oo Antava","Aditya Music",6,68,25,"819350"
85,"spotify:track:4yXLSeG6KtNKOhKrvEWH87","KK","Dil Kyun Yeh Mera (From ""Kites"")","T-Series",85,-1,1,"814559"
86,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",48,75,111,"813429"
87,"spotify:track:1W1dS4VnIrYnllQJ3CAcZy","Sidhu Moose Wala","So High","Humble Music",87,-1,1,"812595"
88,"spotify:track:6C8JJFoGC4dkVtAHVK3iif","Anirudh Ravichander, Sunidhi Chauhan, Sanjana Kalmanje","Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")","Sony Music Entertainment India Pvt. Ltd.",62,78,5,"802307"
89,"spotify:track:1J14CdDAvBTE1AJYUOwl6C","Duncan Laurence","Arcade","Universal Music, a division of Universal International Music BV",7,77,67,"801292"
90,"spotify:track:0dJacN6K3mSGLE9p7QE0lO","KK","Beete Lamhein (From ""The Train"")","T-Series",90,-1,1,"796961"
91,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",63,79,108,"795507"
92,"spotify:track:0d4ZeWg7NBzA5NnFPn8a89","Sri Krishna, Jonita Gandhi, Thaman S","Ma Ma Mahesha (From ""Sarkaru Vaari Paata"")","Saregama",67,67,4,"795481"
93,"spotify:track:6XPmY4hIb1RGRyNuq0UBsl","The PropheC","Kina Chir","PropheC Productions",12,69,32,"794220"
94,"spotify:track:77ry49b6wnFaizfe6rFPhe","Pritam, Yo Yo Honey Singh, Armaan Malik, Shashwat Singh, Amitabh Bhattacharya","De Taali","T-Series",90,90,2,"788070"
95,"spotify:track:6TClJ8jXi3OBV7gcrU3jx5","AP Dhillon, Gurinder Gill, Various Artists","TERE TE","RUN-UP RECORDS",7,85,28,"785755"
96,"spotify:track:4vWcMkEsnEeolYB5kUmr9Q","Hesham Abdul Wahab, Darshana Rajendran","Darshana","Think Music",75,102,20,"783708"
97,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",31,76,24,"778050"
98,"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Imagine Dragons","Believer","Kid Ina Korner / Interscope",25,89,171,"771308"
99,"spotify:track:0hNPo5brQ2MLlrdVKZfHK9","Sid Sriram, Thaman S","Kalaavathi (From ""Sarkaru Vaari Paata"")","Saregama",21,73,16,"764472"
100,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",6,86,42,"757704"
101,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",23,82,165,"756026"
102,"spotify:track:1AzNN19lPYC68iacrbWL8X","Darbuka Siva, Sid Sriram","Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")","Sony Music Entertainment India Pvt. Ltd.",24,107,18,"752854"
103,"spotify:track:4ZNIkO2j6K2c0Nm8zWXmdn","Ram Miriyala","Tillu Anna DJ Pedithe","Aditya Music",30,84,17,"748388"
104,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",22,91,26,"747127"
105,"spotify:track:0T5iIrXA4p5GsubkhuBIKV","Stephen Sanchez","Until I Found You","Republic Records",105,106,5,"743087"
106,"spotify:track:2PcGqmKToUz0s65q1Acg7d","AP Dhillon, Shinda Kahlon, Gminxr, Various Artists","SPACESHIP","RUN-UP RECORDS",15,100,28,"738027"
107,"spotify:track:1UUgngRGzFWfgpyN0WAN1r","Anirudh Ravichander, Ravi G, Shashaa Tirupati","Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")","Sony Music Entertainment India Pvt. Ltd.",53,87,21,"733641"
108,"spotify:track:3e7sxremeOE3wTySiOhGiP","ZAYN, Sia","Dusk Till Dawn (feat. Sia) - Radio Edit","RCA Records Label",51,96,139,"733016"
109,"spotify:track:7Lcp4QlpR3RDngYejm4fmS","Pritam, Mohan Kannan, Amitabh Bhattacharya","Kahani (From ""Laal Singh Chaddha"")","T-Series",103,-1,3,"731442"
110,"spotify:track:6qZyM6JV8ohLC4S2EL5sFh","Sachet Tandon, Nikhita Gandhi, Madhubanti Bagchi, Sachin-Jigar","Barbaadiyan","T-Series",14,93,35,"728940"
111,"spotify:track:57jOEZtoLQK4zF2x55bdkp","Rochak Kohli, Arijit Singh, Neha Kakkar","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","T-Series",8,143,130,"727968"
112,"spotify:track:4bD9z9qa4qg9BhryvYWB7c","Pritam, Tochi Raina, Rekha Bhardwaj","Kabira","T-Series",72,92,142,"726665"
113,"spotify:track:208sMwgVcaFt2mT79Df1KG","Vishal Mishra, Rahul Sipligunj, M. M. Keeravani","Naacho Naacho (From ""Rrr"")","T-Series",65,113,9,"724366"
114,"spotify:track:3B4etxytImrRKQgV3XHjnR","Katy Perry","Harleys In Hawaii","Capitol Records",32,95,42,"722602"
115,"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","The Chainsmokers, Halsey","Closer","Disruptor Records/Columbia",59,103,171,"719802"
116,"spotify:track:0ZHILXmUaVSLEOCWxPQ1ga","Tanishk Bagchi, Yasser Desai, Asees Kaur","Makhna","Zee Music Company",2,94,139,"714956"
117,"spotify:track:0dLbrlAVPPjpPqnYfmJsWk","Atif Aslam, Alisha Chinai, Pritam","Tera Hone Laga Hoon","Tips Industries Ltd",83,83,55,"711406"
118,"spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC","Javed-Mohsin, Arijit Singh, Shreya Ghoshal","Pal","Sony Music Entertainment India Pvt. Ltd.",44,101,169,"708408"
119,"spotify:track:3F2BSn4ayglzMwquBRHZq6","Kavita Seth, Kanishk Seth","Rangi Saari","Kavita Seth",119,134,20,"694992"
120,"spotify:track:65c6VCikt7f5sAS1heoYQC","Bohemia, Sidhu Moose Wala","Same Beef","Saga Music",53,-1,76,"691603"
121,"spotify:track:5QtQFSdyZEl0w4iDxAyv76","Amit Trivedi","Namo Namo","Zee Music Company",19,121,109,"685262"
122,"spotify:track:5iCY0TXNImK4hyKfcplQsg","Anuv Jain","Baarishein","Anuv Jain",62,99,55,"685109"
123,"spotify:track:5EYZZvmNAH5VZCwuzYJqoA","Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi","Chand Sifarish","YRF Music",98,98,17,"684515"
