rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2hHeGD57S0BcopfVcmehdl","Tulus","Hati-Hati di Jalan","TulusCompany",1,1,13,"3598667"
2,"spotify:track:1b0aDgrG775i4sPQgJGmkU","Keisya Levronka","Tak Ingin Usai","PT. Universal Music Indonesia",2,12,2,"3288235"
3,"spotify:track:2m6Ko3CY1qXNNja8AlugNc","Troye Sivan","Angel Baby","EMI Recorded Music Australia Pty Ltd",2,2,32,"2723625"
4,"spotify:track:7th706Tw7ByAqOR9FMWXLg","Fabio Asher","Rumah Singgah","Fabio Asher",3,3,4,"2651305"
5,"spotify:track:0T5iIrXA4p5GsubkhuBIKV","Stephen Sanchez","Until I Found You","Republic Records",4,5,6,"2642507"
6,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",3,4,9,"2618572"
7,"spotify:track:3ajNIJJmIbFFJKZcTolYZO","Fabio Asher","Bertahan Terluka","Fabio Asher",2,6,14,"2123580"
8,"spotify:track:5cASSQjKWI5ox8LykUtJGL","Ziva Magnolya","Peri Cintaku","PT. Universal Music Indonesia",3,7,8,"1951469"
9,"spotify:track:6Hii26x3qDErVitnGW8QtO","Feby Putri, Fiersa Besari","Runtuh","BYNC Record",1,9,33,"1937281"
10,"spotify:track:5b0NpyYAwW2dUGL08ir7Bg","Rizky Febian","Hingga Tua Bersama","DR2 MUSIC ENTERTAINMENT",8,11,15,"1922320"
11,"spotify:track:6pmo9ha8iOPZc5lxPU9o8w","Mahalini","Sisa Rasa","Hits records",3,10,32,"1893961"
12,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",1,8,34,"1875731"
13,"spotify:track:2qgjqbi96IAOBzZFC6H57U","Tulus","Diri","TulusCompany",3,13,13,"1615487"
14,"spotify:track:2KCikMsmJSBEgfOOskQ87P","Kezia","AKU MASIH MEMIKIRKANMU","Go Music",14,15,7,"1601662"
15,"spotify:track:3Ysf0Y3iu23mrDsVh1mdu0","Tiara Andini","Merasa Indah","PT. Universal Music Indonesia",1,14,23,"1589358"
16,"spotify:track:1AoBdDIOp6RFjAbzcPbWi8","Tiara Andini","Janji Setia","PT. Universal Music Indonesia",13,17,10,"1517132"
17,"spotify:track:6shEr6AgLBDlfYlax2UzzL","Mahalini","Melawan Restu","Hits records",9,16,56,"1456416"
18,"spotify:track:6gB7kLGZNkf5tkvWkzSGKR","Mahalini","Kisah Sempurna","Hits records",18,18,6,"1420235"
19,"spotify:track:68HocO7fx9z0MgDU0ZPHro","NIKI","Every Summertime","MARVEL/Hollywood Records, Inc./Interscope Records",1,19,35,"1379006"
20,"spotify:track:1ZPVEo8RfmrEz8YAD5n6rW","Juicy Luicy","Lantas","E-Motion Entertainment",3,20,70,"1372016"
21,"spotify:track:3pCt2wRdBDa2kCisIdHWgF","Pamungkas","To the Bone","Mas Pam Records",1,24,128,"1351113"
22,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",3,23,34,"1323657"
23,"spotify:track:3FwQ3RYYEekzjEeL3jdpUZ","Lyodra","Pesan Terakhir","PT. Universal Music Indonesia",3,22,46,"1311489"
24,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",13,21,73,"1302020"
25,"spotify:track:4kfjA6WfgKBt7I7YKuDCkU","GANGGA","Blue Jeans","KSM",2,25,81,"1286121"
26,"spotify:track:1xdp8tXLTGbPeUSEODP9N7","Amigdala","Kukira Kau Rumah","Amigdala",4,30,99,"1274118"
27,"spotify:track:32Pdf9eyXDEMoClEJW6yYP","Tulus","Interaksi","TulusCompany",10,28,13,"1248902"
28,"spotify:track:296nXCOv97WJNRWzIBQnoj","LE SSERAFIM","FEARLESS","SOURCE MUSIC",20,29,5,"1241909"
29,"spotify:track:2yynRDKYqTLVTcP7FqoyVE","Arash Buana, raissa anggiani","if u could see me cryin' in my room","Alfa Records",19,32,101,"1239126"
30,"spotify:track:4GfK1qOF3uBWidbPlTCQRL","Tulus","Monokrom","TulusCompany",12,26,270,"1226289"
31,"spotify:track:0dcnrLo8s1rhjm8euGjI4n","TREASURE","DARARI","YG Entertainment",1,27,16,"1173974"
32,"spotify:track:1k1e4Amkn7hIFrEthtazqT","Yura Yunita","Tutur Batin","Merakit",16,33,32,"1100588"
33,"spotify:track:4IaxDf2FixiQXq0mW7key9","Jessi","ZOOM","P NATION",12,31,7,"1095315"
34,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",8,34,54,"1093625"
35,"spotify:track:1qHddOZ7pwtmOsw0RmlKFx","Idgitaf","Takut","idgitaf musik",4,36,28,"1087026"
36,"spotify:track:630DpnzdfjdVqv2yLfPbAX","Nadin Amizah","Bertaut","Sorai",1,45,105,"1056345"
37,"spotify:track:2aTKrdenCq5qBOoJPFdn4P","Jamie Miller","Here's Your Perfect","Atlantic Records",1,37,54,"1048306"
38,"spotify:track:2tGvwE8GcFKwNdAXMnlbfl","Olivia Rodrigo","happier","Olivia Rodrigo PS",1,38,54,"1042117"
39,"spotify:track:4Ssi6tKwrTHi5qvDndrZRP","Neck Deep","Wish You Were Here","Hopeless Records",29,41,34,"1036372"
40,"spotify:track:5NvOZCjZaGGGL597exlQWv","Ricky Montgomery","Line Without a Hook","Warner Records",37,43,35,"1019554"
41,"spotify:track:3afkJSKX0EAMsJXTZnDXXJ","Troye Sivan","Strawberries & Cigarettes","EMI Recorded Music Australia Pty Ltd",19,35,101,"1015025"
42,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",3,39,39,"1013673"
43,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",3,46,58,"1005072"
44,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,40,33,"1002834"
45,"spotify:track:2CoxJRIhTKvHyFIq9FcDO5","Kaleb J","It's Only Me - Studio Version","Passion Vibe",1,42,42,"995255"
46,"spotify:track:4pDenOoD01LCPgkzJgu437","Faouzia","RIP, Love","Atlantic Records",42,47,9,"966285"
47,"spotify:track:1MgEuKnMKzbODJ5Ez94I64","Budi Doremi","Mesin Waktu","DRM",24,44,33,"956308"
48,"spotify:track:7As3vd7OvJwyGUsZfNtHce","Judika","Bagaimana Kalau Aku Tidak Baik Baik Saja","DAD Entertainment",7,48,24,"930468"
49,"spotify:track:6KHL1En9v6iNWjcs44mcmU","Little Mix, Jason Derulo","Secret Love Song (feat. Jason Derulo)","Syco Music",16,50,47,"919428"
50,"spotify:track:5MIpcd16T59wFeqAChSYwC","Last Child","Duka","dr.m",13,52,47,"867057"
51,"spotify:track:5S8TtEVuFPY9XEjg2hNWHa","Rizky Febian, Ziva Magnolya","Terlukis Indah","RFAS Music / Universal Music Indonesia",27,54,47,"819319"
52,"spotify:track:7zxLkZbUxITHabPzGN8Xgc","boy pablo","Sick Feeling","U OK?",40,53,10,"787936"
53,"spotify:track:7rdnB5DAyPbaj51TCQRcqW","Sezairi","It's You","Sony Music Entertainment",3,58,52,"787759"
54,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",16,49,9,"773991"
55,"spotify:track:6Xa2rrTpSLkpx887Y115mO","Abe Parker","Butterflies","Sounds Good",21,56,18,"769116"
56,"spotify:track:3wFWiWUWoOSIDs6gRnrTge","Luthfi Aulia","Langit Favorit","Rans Music",52,55,8,"758369"
57,"spotify:track:0CatzXH85XWyBqqdB6qPMB","NCT DREAM","Beatbox","SM Entertainment",57,-1,1,"757910"
58,"spotify:track:1VMtsqCaMNErFRmmvt4exv","Vierra","Seandainya","Musica Studios",58,65,66,"749184"
59,"spotify:track:1mruWrUwAVe2XkksUQiaHK","Virgoun, Audy","Selamat (Selamat Tinggal)","dr.m",12,61,150,"739323"
60,"spotify:track:2gzhQaCTeNgxpeB2TPllyY","Jimin, HA SUNG WOON","With you","Genie Music Corporation, Stone Music Entertainment",23,51,6,"738798"
61,"spotify:track:0BYoWATcndOBcsCfKdTKRx","Misellia","Akhir Tak Bahagia","Merakit",18,62,63,"731339"
62,"spotify:track:5BgZ1bi8xeWVxmg12RfWzv","Hivi!","Pelangi","Seven Music",38,63,213,"729444"
63,"spotify:track:3wefloF3t1sFZx8YMFhqYB","Luke Chiang","Shouldn't Be","Luke Chiang",39,69,37,"722628"
64,"spotify:track:2oBMZYteeO8DyXV9gDx6Za","Red Velvet","Feel My Rhythm","SM Entertainment",6,57,11,"714036"
65,"spotify:track:2UgCs0i0rNHUH2jKE5NZHE","Andra & The Backbone","Sempurna","GP Records",65,67,215,"713431"
66,"spotify:track:2FaquTc3FYvNm7RuO1gD6O","Tulus","Langit Abu-Abu","TulusCompany",55,68,134,"705124"
67,"spotify:track:4nTjkWK590oBDcnIxTr1mI","Justin Bieber","Favorite Girl","RBMG/Def Jam",5,60,21,"683437"
68,"spotify:track:65PjFLm6X567f52At4CI1N","Naif","Benci Untuk Mencinta","Indo Semar Sakti",60,66,35,"679592"
69,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",69,70,2,"668667"
70,"spotify:track:5oH4DQAuu1J1800RzUsBWa","PSY, SUGA","That That (prod. & feat. SUGA of BTS)","P NATION",41,64,5,"648892"
71,"spotify:track:2wAiFWjRupWmnDkQcu91MF","Hindia","Rumah Ke Rumah","Sun Eater",24,59,131,"634442"
72,"spotify:track:009ImBOrIUlWgla8U05RAC","Katy Perry","Unconditionally","Capitol Records (CAP)",32,72,23,"614811"
73,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,71,47,"613715"
74,"spotify:track:4N6YcqNkrAxelsd33JoFWQ","For Revenge","Serana","Selfmade Records",74,81,3,"607879"
75,"spotify:track:5elW2CKSoqjYoJ32AGDxf1","ENHYPEN","Polaroid Love","BELIFT LAB",17,74,21,"600555"
76,"spotify:track:5AkV53fo1u01mi8r22JNeF","Ardhito Pramono, Aurélie","I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Sony Music Entertainment",8,79,83,"599733"
77,"spotify:track:1dMmkgiggnLUnlvRKZoBWG","Utha Likumahuwa","Sesaat Kau Hadir","WM Indonesia",76,76,7,"589819"
78,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",61,77,74,"582828"
79,"spotify:track:3AVXwaOGCEL8cmBecfcsFJ","Charlie Puth","Light Switch","Atlantic Records",59,73,19,"576614"
80,"spotify:track:6I2tqFhk8tq69iursYxuxd","SEVENTEEN","HOT","PLEDIS Entertainment",80,-1,1,"571103"
81,"spotify:track:4o6EhGQmzoQZgwYqI6WD5s","Armada","Apa Kabar Sayang","E-Motion Entertainment",64,75,7,"534391"
82,"spotify:track:6HU7h9RYOaPRFeh0R3UeAr","Olivia Rodrigo","deja vu","Olivia Rodrigo PS",5,87,61,"528426"
83,"spotify:track:3B4VP6swG49n3scg2aMfA6","Tulus","Pamit","TulusCompany",69,86,179,"524026"
84,"spotify:track:0OgwkVbQ4jVfsZJO4Xs9hC","Mahalini, Nuca","Aku Yang Salah","Hits records",33,83,74,"521569"
85,"spotify:track:1XGmzt0PVuFgQYYnV2It7A","Maroon 5, Wiz Khalifa","Payphone","Interscope Records*",65,80,44,"518522"
86,"spotify:track:58eTFrdDC7ZiRq6DjfJxDG","Sammy Simorangkir","Dia","Pro-M (PT Profesional Music)",86,98,19,"515096"
87,"spotify:track:6NkUP6IeLnH6Yaw2wcNHzO","Petra Sihombing, Ben Sihombing","Mine","Hits records",69,88,46,"513650"
88,"spotify:track:28SW36Bv0nTie4UsDeGXD7","Tiko","Stressed Out","Tiko Official",55,82,7,"504522"
