rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4EC028SvtlC25iHQSG2OIa","Rhove","Shakerando","Universal Music Italia srL.",1,1,24,"2806736"
2,"spotify:track:1v9ABGLSpdhPDEWyQ10NFD","Jovanotti, Sixpm","I love you baby","Universal Music Italia srL.",2,2,9,"2186957"
3,"spotify:track:3z0GeNGWyVduziP1cQ0mFN","Irama, Rkomi","5 Gocce (feat. Rkomi)","Atlantic/WM Italy",3,5,14,"1983687"
4,"spotify:track:7iLuBTHJSXM2HalKHFqEEy","Pinguini Tattici Nucleari","Giovani Wannabe","Columbia",4,-1,1,"1945947"
5,"spotify:track:3yWHQ4n4ARLDfYTuT2NhnN","Tananai","BABY GODDAMN","Universal Music Italia srL.",1,4,16,"1850888"
6,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",3,3,9,"1786231"
7,"spotify:track:6oYcyS6salzWI1ysjEScFh","Rkomi, Elodie","LA CODA DEL DIAVOLO (con ELODIE)","Universal Music Italia srL.",2,8,26,"1640642"
8,"spotify:track:01DXwNf1GzEJkYTbXgL0eb","Lazza","USCITO DI GALERA","Universal Music Italia srL.",5,7,8,"1621651"
9,"spotify:track:3eBjQXQ5CuRaUbKXj9WIVJ","Rhove, Madfingerz","LAPROVINCE #2","Universal Music Italia srL.",9,24,2,"1542288"
10,"spotify:track:5KkcthkQDnlhQN0WhO8DsM","Elodie","Bagno a mezzanotte","Universal Music Italia srL.",10,11,12,"1491925"
11,"spotify:track:16EJNayKtC09M0Fi7Py47s","BLANCO","Finché Non Mi Seppelliscono","Universal Music Italia srL.",2,10,38,"1466784"
12,"spotify:track:7d7xucQmFY7PoESyJm2V9J","Sfera Ebbasta, Rvssian","Mamma Mia","Universal Music Italia srL.",2,9,5,"1460064"
13,"spotify:track:1ZMGp9MTXbtAPvcKa0U3zS","Mahmood, BLANCO","Brividi","Universal Music Italia srL.",1,6,18,"1399744"
14,"spotify:track:4lstxdn27jZqnTuyaLeJfq","Rhove","Cancelo","Universal Music Italia srL.",5,12,11,"1286052"
15,"spotify:track:3yEA1LJvalVoh8ejwq7PHD","Salmo, Drillionaire, Verano","181","Columbia",15,-1,1,"1239799"
16,"spotify:track:60NC3OqjiISKBYbscb8vW3","LIBERATO","PARTENOPE","LIBERATO",10,13,4,"1211484"
17,"spotify:track:3lN2jXIlpMJETk3zzFkoAy","Salmo, Guè, Sixpm","LOCO","Columbia",17,-1,1,"1202501"
18,"spotify:track:32KxxVUfXnbdujTh5DGmgu","sangiovanni","farfalle","Universal Music Italia srL. (Sugar)",3,16,18,"1197509"
19,"spotify:track:4xlVDf8pSGnjJGwTT6dyXw","Salmo, Baby Gang, Luciennn, Bobo","9.19","Columbia",19,-1,1,"1154540"
20,"spotify:track:6t0ovtgnoAq9orbnisSzZp","Fabri Fibra, Colapesce, Dimartino","Propaganda","Epic",10,15,11,"1138272"
21,"spotify:track:6BUueuMQR4k7CuoMEsnGou","Lazza, Sfera Ebbasta","PIOVE (feat. Sfera Ebbasta)","Universal Music Italia srL.",1,14,8,"1098418"
22,"spotify:track:4Yi4RRhp3nfKR1FDbXlHBp","Shiva","Pensando a lei","Milano Ovest",4,19,16,"1093364"
23,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",18,18,3,"1092996"
24,"spotify:track:08ITDCl9UvAAGzzIOwo4h4","Slings, MamboLosco","Thick (feat. MamboLosco) - Remix","Epic",9,17,8,"1088524"
25,"spotify:track:5a6ABzVhqgVKI1znaI9tar","Dargen D'Amico","Dove Si Balla","Universal Music Italia srL.",4,23,18,"1081631"
26,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",24,25,13,"1020352"
27,"spotify:track:1x3Qb8np6S1UvpSLthwEJN","BLANCO, Sfera Ebbasta","MI FAI IMPAZZIRE","Universal Music Italia srL.",1,21,50,"995034"
28,"spotify:track:3HiQ6Tn1mWVgYDLgeaxjS5","Shiva","Niente da perdere","Milano Ovest",28,-1,1,"982705"
29,"spotify:track:4tC2tHKt8xZfm36rqXSQxJ","Salmo, Jake La Furia, Rose Villain, Night Skinny","M.S.O.M.","Columbia",29,-1,1,"978569"
30,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",28,28,36,"953263"
31,"spotify:track:6SQmh0L5icrThwGDTeLkg1","Lazza","MOLOTOV","Universal Music Italia srL.",5,22,10,"948540"
32,"spotify:track:1PWOkqMORYdGa0OEh2GaXM","BLANCO","Notti In Bianco","Universal Music Italia srL.",1,26,73,"945389"
33,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",33,57,4,"926644"
34,"spotify:track:6jcfITWcR5egvbD4fsGayr","Kungs","Clap Your Hands","Universal Music Division Island Def Jam",33,33,12,"912544"
35,"spotify:track:0SsUOrXUM2gZxVLYizZfQZ","Lazza, Takagi & Ketra","PANICO (feat. Takagi & Ketra)","Universal Music Italia srL.",6,30,8,"910291"
36,"spotify:track:0b53fWGqxHfsdyzkwlEFFl","Ghali","FORTUNA","Atlantic/WM Italy",32,32,7,"895098"
37,"spotify:track:2V8AxW9KS5i60ccy7tXCP6","Marco Mengoni, Madame","Mi Fiderò (feat. Madame)","Epic",27,31,26,"883194"
38,"spotify:track:3u9LnNtp8669srAZoQh7mZ","Luigi Strangis","Tienimi stanotte","21co",38,48,5,"878153"
39,"spotify:track:3k4O2cb414A8GS6Tzk4tiN","Salmo, Lazza, Verano","MI ANTHEM","Columbia",39,-1,1,"856705"
40,"spotify:track:15223sfwoQj4IAJL8GSnfO","Raffa Fl","Ritmo","Another Rhythm",40,52,9,"854227"
41,"spotify:track:4YhH8TVZAe2AUaz2oigGeQ","Neima Ezza, Nko","CASA","Epic",12,43,18,"849536"
42,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",25,36,40,"846099"
43,"spotify:track:0GsZZWhBMIQXAmPYPJ3PRQ","Rkomi","INSUPERABILE","Universal Music Italia srL.",4,29,18,"843306"
44,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Nabru Records LLC",42,45,11,"843142"
45,"spotify:track:6jMDzJpF4ULB0gKvJV0Hji","Salmo, Ensi, Luciennn","EZ","Columbia",45,-1,1,"842515"
46,"spotify:track:02OFJLIZuX5l0IKApndnkh","Shiva","Soldi Puliti","Milano Ovest",5,42,10,"833912"
47,"spotify:track:0HhSB4nAJpI5expWnZL199","Marracash, Guè","∞ LOVE (feat. Guè)","Universal Music Italia srL.",1,27,28,"822230"
48,"spotify:track:0tE8LYz08MdcV8UZUa1YVV","Gemitaiz","Ciao Baby","Universal Music Italia srL.",14,20,3,"814071"
49,"spotify:track:5w1eX8eQf8Z9jvqTCAtHkY","ANNA, Lazza","3 DI CUORI (feat. Lazza)","Universal Music Italia srL.",26,39,5,"773720"
50,"spotify:track:0tRj4m46GRFrBS7IsbS0Gk","tha Supreme","ch1 5ei te","Epic",9,113,25,"766305"
51,"spotify:track:5bvsNn7f4m0MTCuUQkMZGY","Coez","Occhi rossi","Coez licensed to Carosello Records",31,38,26,"762436"
52,"spotify:track:5gflgO9EPbIBf16n5TKnQS","Zion & Lennox","Yo Voy (feat. Daddy Yankee)","Baby Records Inc",41,51,15,"747015"
53,"spotify:track:1S1hUgw8Vg69BS6b83H3tV","Salmo, Ernia, Luciennn, Verano","APRI","Columbia",53,-1,1,"745551"
54,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",32,49,57,"744923"
