rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:48fzAdCxamFYCHNXXLk6zn","shadowraze","showdown","Союз Мьюзик",1,2,13,"37544"
2,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"36565"
3,"spotify:track:75C98tVaHUtjYZTIcy9U7U","Xcho","Ты и Я","Glass Cage",3,3,10,"32017"
4,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",4,5,8,"31648"
5,"spotify:track:1tVJ6OAOSN5D7e0kwrhdqc","Irina Kairatovna, Shiza","Kõk tu","ГОСТ",1,4,11,"31202"
6,"spotify:track:47iHvzU9Po0e6raFlgLBOF","shadowraze","astral step","Союз Мьюзик",1,6,16,"28086"
7,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,7,16,"27283"
8,"spotify:track:0dY8qhMk6KOxw51j36GtlM","Ulukmanapo, Bakr","Расстояние","Infinity Music",8,15,2,"26939"
9,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",5,8,16,"26398"
10,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",6,9,16,"26211"
11,"spotify:track:4SoNwm8ceBTUWdE5Ua5dxF","Irina Kairatovna","5000","ГОСТ",7,10,16,"25548"
12,"spotify:track:2WzAAerBvZvvFXgUpSwHZ9","PLAYAMANE, Nateki","MIDNIGHT","PLAYAMANE",12,14,2,"24027"
13,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Negative Gain Productions",11,11,16,"23763"
14,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",8,13,16,"23537"
15,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",15,16,16,"22885"
16,"spotify:track:7D8k995g6jdie4NF1E7Tpu","WENARO, LXNER","Лёд","SAVAGE$TATION",4,12,16,"22578"
17,"spotify:track:3pr2J4VXb5h8WhCu4ljify","The Limba","Секрет","The Limba",17,18,2,"21523"
18,"spotify:track:5hY09NvKjD3gBQS3qhriXD","ssshhhiiittt!","Танцы","ssshhhiiittt!",17,17,16,"21513"
19,"spotify:track:5i3H6himHZaKZT3Dk8lr8Z","Bakr","Сирень","Infinity Music",19,20,5,"20451"
20,"spotify:track:4tPB6H0QcK4bDib8iauE28","Alyona Shvets","первое свидание","rainbow flower",7,21,16,"19577"
21,"spotify:track:7biChppM3c8q7qcVl7ceb2","FACE","ЛАБИРИНТ","Face",9,19,15,"19550"
22,"spotify:track:1eQc0azOMOv6VuqQi9c2Ba","Xcho","Вороны","Glass Cage",18,23,16,"19309"
23,"spotify:track:2jloOpRyKxdIA5hUDws6Qm","Irina Kairatovna, Junior","NE ÁŃGIME?","ГОСТ",23,26,16,"19301"
24,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",4,24,16,"19058"
25,"spotify:track:4jvw60Iw8LpSRJwy1sOmoB","Шайни","Yeyo!","Mansion Music",25,40,16,"18913"
26,"spotify:track:43wgyQXc2M9KmTDUqVzugM","MiyaGi & Endspiel, Rem Digga","I Got Love","Hajime Records",23,27,16,"18491"
27,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",17,22,16,"18486"
28,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",19,25,16,"18331"
29,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",29,-1,1,"18051"
30,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",30,35,6,"17963"
31,"spotify:track:0PGAJ37n4O2AslZosr1YGx","KSLV Noh","Disaster","3066940 Records DK",29,29,10,"17682"
32,"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","XXXTENTACION","Revenge","Bad Vibes Forever / EMPIRE",28,28,14,"16913"
33,"spotify:track:6w55jwLKo6JuQqBN672X2K","Qarakesek","Қураған гүл","QARAKESEK",33,61,3,"16703"
