rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"492226"
2,"spotify:track:2m6Ko3CY1qXNNja8AlugNc","Troye Sivan","Angel Baby","EMI Recorded Music Australia Pty Ltd",1,2,38,"450183"
3,"spotify:track:0T5iIrXA4p5GsubkhuBIKV","Stephen Sanchez","Until I Found You","Republic Records",3,3,4,"440966"
4,"spotify:track:7th706Tw7ByAqOR9FMWXLg","Fabio Asher","Rumah Singgah","Fabio Asher",4,4,3,"397313"
5,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",1,5,35,"350845"
6,"spotify:track:3ajNIJJmIbFFJKZcTolYZO","Fabio Asher","Bertahan Terluka","Fabio Asher",6,6,12,"271406"
7,"spotify:track:0dcnrLo8s1rhjm8euGjI4n","TREASURE","DARARI","YG Entertainment",1,7,16,"243326"
8,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",5,8,65,"240984"
9,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",7,9,20,"238173"
10,"spotify:track:3AVXwaOGCEL8cmBecfcsFJ","Charlie Puth","Light Switch","Atlantic Records",6,10,19,"219460"
11,"spotify:track:4IaxDf2FixiQXq0mW7key9","Jessi","ZOOM","P NATION",6,11,7,"215998"
12,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,12,57,"214881"
13,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,13,47,"208365"
14,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",4,14,9,"197886"
15,"spotify:track:6I2tqFhk8tq69iursYxuxd","SEVENTEEN","HOT","PLEDIS Entertainment",15,-1,1,"197849"
16,"spotify:track:67C6LHREqmytK923Ak6R0I","Insomniacks","Sempurna","Universal Music Ltd. (Malaysia branch)",5,15,16,"196852"
17,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",3,17,56,"186827"
18,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,18,33,"174989"
19,"spotify:track:296nXCOv97WJNRWzIBQnoj","LE SSERAFIM","FEARLESS","SOURCE MUSIC",14,20,5,"172532"
20,"spotify:track:4UG2Fm0E98LhE2dlNxiAXx","JVKE","this is what falling in love feels like","JVKE",20,21,17,"170272"
21,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",16,16,2,"169529"
22,"spotify:track:1jIMjbzcGCcCQn5iMu9CUc","Charlie Puth","That's Hilarious","Atlantic Records",19,24,8,"167035"
23,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",12,22,54,"165165"
24,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",9,23,34,"161818"
25,"spotify:track:2tGvwE8GcFKwNdAXMnlbfl","Olivia Rodrigo","happier","Olivia Rodrigo PS",2,25,54,"159924"
26,"spotify:track:2hHeGD57S0BcopfVcmehdl","Tulus","Hati-Hati di Jalan","TulusCompany",26,26,12,"157238"
27,"spotify:track:68HocO7fx9z0MgDU0ZPHro","NIKI","Every Summertime","MARVEL/Hollywood Records, Inc./Interscope Records",9,27,24,"157034"
