rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7ckHoMRErhCP9QMqGRPnLv","kouz1","Magic","SSC Music",1,3,11,"126606"
2,"spotify:track:4HLrkVmVOqFkUxMMzIkTZX","Marwa Loud, Moha K","Ghir Ntiya","Universal Music Distribution Deal",1,1,4,"118686"
3,"spotify:track:1ThaPy4W188i5SFdjXl64J","Demi Portion, ElGrandeToto","Casablanca","La bulle corporation",2,2,4,"107786"
4,"spotify:track:2BJh2IoGeq0UQVsLHUcbrK","ElGrandeToto","Salade Coco","BNJ CITY BLOCK",1,5,25,"76389"
5,"spotify:track:6Qe7YCkIOc1iaw9HKqO3qV","Soolking","Suavemente","Universal Music Division Capitol Music France",5,12,14,"72846"
6,"spotify:track:78N2ZYtm1Lk5KHMZcGu4MX","L'morphine","Sparadra","lmorphine",1,4,4,"69944"
7,"spotify:track:39jtccUn5BcqpMbjzqFRlj","kouz1, Tagne","J'en ai marre !","kouz1",3,7,69,"67131"
8,"spotify:track:40Sf3xGKMtwYM9y2RyScr8","Mons","Lovini","Othmane sakhi",8,15,14,"66631"
9,"spotify:track:1gq11LOJxrQob0EsPRwAMm","Draganov, Inkonnu","Lbaroud","Mr-draganov",1,6,35,"64750"
10,"spotify:track:3BnDvpeuGOj21Ir2aVEtQo","Rema","Calm Down","Mavin Records / Jonzing World",10,11,15,"64045"
11,"spotify:track:4g1AKn1RwrNmCUTzl6pSI3","Tagne, Manal","MAAK","Tana Prod",1,8,16,"61997"
12,"spotify:track:1EYeZGTMCjV7uVey5fNWXM","CKay, ElGrandeToto","love nwantiti (feat. ElGrande Toto) - North African Remix","WM South Africa",1,10,93,"60788"
13,"spotify:track:7pktxOiANdgQnzJmp7vwON","LFERDA","Ma Jolie","Lferda",13,-1,1,"54876"
14,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",7,13,9,"53734"
15,"spotify:track:0tfrAZsEOELEAcjCs46TJ5","Draganov","Taline","Mr-draganov",2,14,15,"52722"
16,"spotify:track:3B67oAJr4acToGpR1S33g5","Raste","Hickey","Raste",10,18,13,"51310"
17,"spotify:track:186NCtNk1tUYS7c2DxgJ7O","V","Christmas Tree","MOST CONTENTS",4,22,16,"51074"
18,"spotify:track:2e6OAZn3kthKizIsGugLeR","L'morphine","Papillon","lmorphine",2,9,4,"49266"
19,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",17,17,26,"49071"
20,"spotify:track:6AFbOjmJNeCHXmoh1Ve1XM","ElGrandeToto","Haram (Pablo II)","BNJ CITY BLOCK",1,19,52,"47277"
21,"spotify:track:2H5rb6rL9p6zKMLYiZDU7Q","LFERDA","Ahoo","Lferda",21,-1,1,"43001"
22,"spotify:track:6lZ5p6VTbZ2ZvnsdTlLv7I","CKay","Emiliana","WM South Africa",12,26,22,"42184"
23,"spotify:track:5NwA0hLKYsFcU3FVD5hD03","Inkonnu","Chill","1546531 Records DK",1,23,31,"42140"
24,"spotify:track:5TR5g2mXk58AbVbHLVRbsM","7-Toun","MILANO","Z7 Production",6,28,32,"42071"
25,"spotify:track:7gxuzyHGSACfrMQrLRbJ4Q","Eljoee, CHAAMA","Hiya Hiya","Belle Decibel",25,35,13,"41321"
26,"spotify:track:7nrCax5vsQsQGt59NiW1S2","LFERDA, Dollypran","Daliyou","Lferda",26,-1,1,"40537"
27,"spotify:track:4vHy2IHzf3EabEa7oMpUZB","1da Banton","No Wahala","Squareball Ent. Limited",27,34,12,"40278"
28,"spotify:track:4H0oUwMaA4iFVZtl4YR4Jj","RYM","Stylo warqa","MIMESIS PROD",16,29,26,"40225"
29,"spotify:track:79ywMZ4XzXmwfL9NM1QQSz","7liwa","Hallelujah","PopArabia",1,21,13,"39897"
30,"spotify:track:63DDC3J4z88hNMvcDFzQnH","Draganov","Sac","Mr-draganov",2,27,35,"38995"
31,"spotify:track:3WzncgOidVpqkak5Ee4b1n","MA3IZ","De9at l9elb","3073082 Records DK",31,69,18,"38309"
32,"spotify:track:22kGpzO0EAdYy9yaPGvKGJ","L'morphine, Raid","Adams","lmorphine",3,16,4,"38256"
33,"spotify:track:6ENLajiEU6MkPq4SvXHXtW","Moro, ElGrandeToto, Skizo Beats","How high","324 Empire",3,25,18,"38223"
34,"spotify:track:5QhnCB5kD34sYkvHviU0yz","ElGrandeToto","Mghayer","BNJ CITY BLOCK",1,33,73,"37764"
35,"spotify:track:2sHYMLUd4nVLxHPKY05Ein","Ricky Rich, Dardan, DJ Gimi-O","Habibi - Albanian Remix","WM Germany",35,37,13,"37604"
36,"spotify:track:6OZwia8loN0aPS0vTvsBjR","Alonzo, Ninho, Naps","TOUT VA BIEN (feat. Ninho & Naps)","ONLY PRO",36,49,2,"37469"
37,"spotify:track:6MvBKF1zyjUnnUUgfndWjF","ElGrandeToto","7elmet Ado 5","BNJ CITY BLOCK",4,30,20,"37368"
38,"spotify:track:3Qe4g2M8lld0lmyE2LLRNk","LFERDA","La Weed","Lferda",38,50,3,"36320"
39,"spotify:track:7juHEjdRiTaXRqCN7yTwj1","LFERDA","Intro","Lferda",39,-1,1,"35992"
40,"spotify:track:0OTjNxHIc5eQCVhvxue7XD","L'morphine","Huis Clos","lmorphine",4,20,4,"35452"
41,"spotify:track:6mKrkIikIDiBRC9ZqjbeNl","Inkonnu","BREDA","1546531 Records DK",1,32,18,"35412"
42,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",42,42,29,"34851"
43,"spotify:track:2qvNe5OPt3Ohi64AdaFejz","LFERDA","N’est Pas La","Lferda",43,-1,1,"34130"
44,"spotify:track:0johwiyFvPcTbM1miBvaUh","Ali Loka, Ouzzy","Matkhafesh Yamma","WKS LTD",34,96,14,"33900"
45,"spotify:track:31l74FDLY1pYLd82MYDp8W","LFERDA","Virus","Lferda",45,-1,1,"33868"
46,"spotify:track:38dFwM306LaXqnc4hGHpaB","Uzishettan","Liyem","3026598 Records DK",10,31,10,"33673"
47,"spotify:track:4pDenOoD01LCPgkzJgu437","Faouzia","RIP, Love","Atlantic Records",40,40,9,"33620"
48,"spotify:track:48Xx8tDQ2yNp3aHbGrKXxc","Stormy, Tagne, ElGrandeToto","Tchin Tchin","Sognare / Tana Prod",1,39,44,"32526"
49,"spotify:track:5rNZsITjXf23iFkRA924FV","BTS","Intro: Singularity","BIGHIT MUSIC",49,60,4,"31786"
50,"spotify:track:1MbHeoSYFMKzkbybU9FQtF","Nej, Tagne","Ma colombe - Moroccan Remix","Miel Noir",47,47,27,"31475"
51,"spotify:track:5kvEOhMHxxCeiEQlLSoEWZ","L'morphine","Python","lmorphine",5,24,4,"30410"
52,"spotify:track:39EXZNMxb4RBHlRjnRaOKp","V","Sweet Night","(주)블렌딩",9,58,17,"30087"
53,"spotify:track:6KQ01xLBKOieT7DCIAHVch","LFERDA","Normal","Lferda",53,-1,1,"29991"
54,"spotify:track:6up1lIMVpkXlNZ4Es3rGhg","LFERDA","Aghach","Lferda",54,-1,1,"29987"
55,"spotify:track:4C9bUSwqwVZ8eu2jsnctm6","Mok Saib, Zaho","Toi & moi","Suther Kane",40,46,11,"29604"
56,"spotify:track:14WP9aPMpre8L1u0RcRO5Q","Tagne","Nadi Canadi","Tana Prod",1,43,64,"29072"
57,"spotify:track:2FCV8dhMiAl3fNifmx1Q3m","Saad Lamjarred, Calema","Enty Hayaty","Saad Lamjarred - All Other Contents",4,52,44,"28845"
58,"spotify:track:6AqTrSMEkIN0jiRYWLnBlx","DKB, Amine SEMMA","D'Kover - Darja Darja - درجة درجة","2239253 Records DK",20,59,9,"28554"
59,"spotify:track:6ZS84HuMEK5kHFNisgnZzs","Seven Binks, Koba LaD, ElGrandeToto, Bolémvn","Fumigène","791 Records",19,44,4,"28520"
