rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"1415867"
2,"spotify:track:4zN21mbAuaD0WqtmaTZZeP","James Hype, Miggy Dela Rosa","Ferrari","Universal-Island Records Ltd.",2,2,9,"1341373"
3,"spotify:track:0h09eYhmViqa1Uxkil7yza","Idaly, Emms","Amazin'","Top Notch Music BV",3,9,3,"1131805"
4,"spotify:track:5R7KyW1qVi1CHzZiB4ALFs","$hirak, Cristian D, Boef, Bilal Wahib, Ronnie Flex","Als Je Bij Me Blijft","Maison $hirak",2,4,3,"1085945"
5,"spotify:track:0gq4UgDPGFdqpsWshU7dmv","Kris Kross Amsterdam, Donnie, Tino Martin","Vanavond (Uit M'n Bol)","Universal Music, a division of Universal International Music BV",2,5,10,"1032886"
6,"spotify:track:7uQ7e7nzbtyX87eIYHpj6Z","S10","De Diepte","Noah's Ark BV",1,3,14,"1004258"
7,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",6,7,13,"955729"
8,"spotify:track:7ei5RfilwI6o46e162cDuA","Zoë Tauran, Bilal Wahib","Solo","Universal Music, a division of Universal International Music BV",5,8,4,"879712"
9,"spotify:track:6mMVJJkpzL5r9OyqX7VzBk","FLEMMING","Automatisch","8ball Music",9,12,5,"868389"
10,"spotify:track:3yTAnIv3fmOOZXdJ5vh9mA","Esko, Lijpe, JoeyAK","Klokken En Stenen","Van Klasse",10,-1,1,"841258"
11,"spotify:track:1ei3hzQmrgealgRKFxIcWn","Benson Boone","In The Stars","Warner Records",11,11,5,"840145"
12,"spotify:track:07wa4OYLExaJjgHWtdzniV","Antoon","Hallo","Dreamteam",1,10,14,"822376"
13,"spotify:track:5DhLsu431rudt8PENvUDao","Fmg","Boot","FAMILYMUSICGENERATION",13,22,4,"816437"
14,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",14,17,11,"774261"
15,"spotify:track:181AxLRTyYh9WUxEjmJt1Y","Willy William","Trompeta","Helix Records",11,14,11,"738344"
16,"spotify:track:63JrADDfrcjOaI6lyVkN3c","Kris Kross Amsterdam, Antoon, Sigourney K","Vluchtstrook","KKA/Dreamteam/Cloud 9/Ownit",1,13,27,"725045"
17,"spotify:track:6yv54xH6fZONDqajlDynO1","Antoon","Hotelschool","Dreamteam",2,15,13,"715494"
18,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",18,19,5,"705647"
19,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",6,6,2,"701836"
20,"spotify:track:0RRTQ89tQcyQG2hf54N8fz","Donnie, Mart Hoogkamer","Bieber Van De Kroeg","8ball Music / NRGY Music / Maradonnie",7,18,14,"665236"
21,"spotify:track:0PrxviwWNPOUJunvL9LkTI","Boef","Excuseer","BOEFMUSIC",21,-1,1,"663452"
22,"spotify:track:35i2wSWfDTxxBMUCNnmosW","Suzan & Freek","Honderd Keer","Sony Music Entertainment",12,23,12,"636937"
23,"spotify:track:4MA4LxSsJRbj4axg1uTi2n","Sigourney K, Ronnie Flex","100 SMSjes","LASER [BNL]",14,21,6,"629202"
24,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",24,-1,1,"624519"
25,"spotify:track:1WCEAGGRD066z2Q89ObXTq","David Guetta, Becky Hill, Ella Henderson","Crazy What Love Can Do","Parlophone UK",24,27,8,"612984"
26,"spotify:track:5iFQfP3AqVnHHS89LKQisL","George Ezra","Anyone For You (Tiger Lily)","Columbia",18,25,16,"612423"
27,"spotify:track:3sa06xVNmLLYIxdNNmVQN8","Jax Jones, MNEK","Where Did You Go? (feat. MNEK)","Polydor Records",20,29,14,"600344"
28,"spotify:track:2yqSgr8sMvM0jlFj4Aqx7B","Broederliefde, KM, Jayh","Bikini","Top Notch Music BV",28,-1,1,"586599"
29,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",29,31,3,"566151"
30,"spotify:track:4RCKxit6c2kl7dwJPKT3hc","Trobi, Ronnie Flex, Chivv, ADF Samski","Okee Shordy","Top Notch Music BV",3,52,13,"561277"
31,"spotify:track:7lP1zUASWfS5TLBdQDj3DA","FLEMMING","Amsterdam","8ball Music",3,35,35,"543071"
32,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",9,30,8,"529858"
33,"spotify:track:1YR7VB3xx85Iad2n3soyMb","Cristian D, $hirak, Brysa, Ashafar","Amsterdam","Maison $hirak",1,32,20,"514381"
34,"spotify:track:0iBWf9gz65kHxuQkZkrNUc","RONDÉ","Love Myself","RONDÉ",34,53,8,"500818"
35,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",23,51,74,"497500"
36,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",5,41,69,"490455"
37,"spotify:track:01F3XjTDNiB5v3hfAPi7qT","FLEMMING","Zij Wil Mij","8ball Music",10,45,22,"485382"
38,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",5,33,30,"479209"
39,"spotify:track:4wn7cO2iHlWueXGDd4gH9g","MEAU","Dat heb jij gedaan","Excited About Music",1,54,36,"477709"
40,"spotify:track:6Owc2SuzwO3LW1SAODYK3l","Sigala","Melody","Ministry of Sound Recordings",28,43,14,"472248"
41,"spotify:track:3yMC1KsTwh0ceXdIe4QQAQ","Lauren Spencer-Smith","Fingers Crossed","Three Name Productions, Inc./ Island Records & Republic Records",7,44,22,"468498"
42,"spotify:track:3KC0g7hlWlTtEMPxJnWCbp","Antoon, Big2","Tantoe Lekker","Dreamteam",5,40,13,"465658"
