rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2SaRkvUkzNzL39fBB2hLpt","SPINALL, Asake","PALAZZO","TheCAPMusic",1,1,3,"218356"
2,"spotify:track:2PDgArI0p7UkeYgXWuqpmh","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",1,2,3,"193304"
3,"spotify:track:4lVEVXrlQlXPdYWMGTwrFe","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx, Boy Spyce","Overloading (OVERDOSE)","Mavin Records",3,4,3,"169132"
4,"spotify:track:4eZZofkV1OQ9GDqAgHqNpA","Kizz Daniel, Tekno","Buga (Lo Lo Lo)","FlyBoy INC / EMPIRE",1,3,5,"168917"
5,"spotify:track:6othjWxN6khdhiLu9GdOtj","Zinoleesky","Loving You","Marlian Music",4,5,3,"129232"
6,"spotify:track:1XUf5lpeTQbrohZWdx6Sbz","Davido, Sunday Service Choir","Stand Strong (feat. Sunday Service Choir)","Columbia",3,6,4,"120231"
7,"spotify:track:3AUW4YqukPw4YfBV1ZkkNe","Omah Lay","Woman","Sire",7,7,2,"99509"
8,"spotify:track:1Cg51Jk6EoXBQ0KiwzWJfm","Fireboy DML","Playboy","YBNL Nation / EMPIRE",4,9,11,"91571"
9,"spotify:track:4Gasn91fsCefnN8zM5GjA8","Pheelz, BNXN fka Buju","Finesse","Warner Records",1,10,14,"91419"
10,"spotify:track:2IBrgYf3Hjw16c6oNwkZ9M","Young Jonn, Davido","Dada (feat. Davido) [Remix]","Chocolate City Music",5,8,5,"90134"
11,"spotify:track:7d1aTQlsHMgWmkPywDi7h1","Asake, Olamide","Omo Ope (feat. Olamide)","Asake Music",2,11,16,"85912"
12,"spotify:track:5FtWjKVBTMklN2yCP9UhF6","Asake, Burna Boy","Sungba (feat. Burna Boy) - Remix","YBNL 2022",2,13,10,"81895"
13,"spotify:track:6lXOGwFzCglrPMtuysPIUo","Victony","kolomental","The Plug Entertainment",3,14,6,"74172"
14,"spotify:track:3BnDvpeuGOj21Ir2aVEtQo","Rema","Calm Down","Mavin Records / Jonzing World",1,16,16,"73292"
15,"spotify:track:0ApflIvLLPwEZuS36WYlh6","Camidoh, Mayorkun, Darkoo, King Promise","Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]","Crux Global / MOVES Recordings",12,15,8,"70593"
16,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",5,19,5,"68896"
17,"spotify:track:3baPniPXS0iEII8rDUJdYP","Lojay, Sarz, Chris Brown","Monalisa","Metallic Music/1789",12,12,2,"61124"
18,"spotify:track:7pXNFEzqeZB8rIbcFtYTop","Black Sherif","Kwaku the Traveller","Blacko Management / EMPIRE",1,20,9,"60320"
19,"spotify:track:6bZ9RWQGYr7XKQhxs9XT6a","BNXN fka Buju","Kilometer","T.Y.E. / EMPIRE",6,18,16,"59320"
20,"spotify:track:6PojTTCNlz3qo3qBKuUyaO","Mayorkun, Victony","Holy Father","SM Entertainment West Africa Limited",5,21,16,"59054"
21,"spotify:track:6suEGaFoeHV8eNQau8itvT","Bella Shmurda","Fvck Off","Dangbana Republik",17,17,2,"55798"
22,"spotify:track:4G11wDzAKuCFqApL4g3ixC","Adekunle Gold, Davido","High","Afro Urban Records",10,22,16,"52099"
23,"spotify:track:2XuLnQELesgnkCGZbSJHO0","Lil Kesh, Zinoleesky","Don't Call Me (feat. Zinoleesky)","Ziiki Media",6,24,16,"51287"
24,"spotify:track:3OsZkVwyJhGLJ0KrdUx23o","Victony","Apollo","The Plug Entertainment",10,25,12,"50658"
25,"spotify:track:1zwZ26A7OA5wTrA3FejCLL","Lojay, Sarz","Monalisa","Metallic Music/1789",6,26,16,"49534"
26,"spotify:track:2jZ2MrAk8iNZk1dsI0Vr5z","Timaya, BNXN fka Buju","Cold Outside","DM Records Limited",5,23,16,"48235"
27,"spotify:track:0hW02S9ACVYANz1ica10jH","Magixx, Ayra Starr","Love Don't Cost A Dime (Re-Up)","Mavin Records",21,35,16,"46070"
28,"spotify:track:4lDghGd035xrzGp6Yec2j1","Skiibii, Davido","Baddest Boy - Remix","More Grace Entertainment / Dvpper Music",3,27,16,"45877"
29,"spotify:track:6teW0qt23aGnWhC0rSvtoz","Omah Lay","Understand","Sire",20,29,16,"45775"
30,"spotify:track:6rDbIKxHWteL6TnhLtj634","T.I BLAZE, Olamide","Sometimes - Remix","Bailey Music World / Dvpper Music",8,31,16,"44803"
31,"spotify:track:3Q78lDuzWs50Gry1eQA7NX","Khaid","WITH YOU","NEVILLE RECORDS",16,38,16,"43755"
32,"spotify:track:03DxO8kGNrEGr1VjPSdQs2","Kizz Daniel","Lie","FlyBoy INC / EMPIRE",28,28,16,"42896"
33,"spotify:track:2oOr7XZmuqYTdmCnC5qQsC","Ajebo Hustlers","Loyalty","The Plug Entertainment",11,43,16,"42267"
34,"spotify:track:3ketN3dth18vSJ1T3HIztN","Burna Boy, WizKid","B. D’OR (feat. Wizkid)","Spaceship/ Bad Habit/Atlantic Records",13,33,16,"41165"
35,"spotify:track:77eZIuMTB9HrQ86L4ljqEX","Fave","Baby Riddim","TUMBLAR under exclusive license to emPawa Africa Limited",16,44,16,"40309"
36,"spotify:track:3KO1322zrWwGa8TWQDBFvg","Asake","Sungba","YBNL 2022",3,37,16,"40215"
37,"spotify:track:3vXFxsPqMgw4SYP7fkWicM","melvitto, Wande Coal","Gentility","melvitto under exclusive license to Amuseio AB",12,39,7,"38583"
38,"spotify:track:5p8e2CxX9frZepKoc8E9Z4","T.I BLAZE","Try","Dvpper Music",38,50,15,"38475"
39,"spotify:track:2Ydj7wgn4ZrFFQsfFBTTYJ","Kizz Daniel","Eh God (Barnabas)","FlyBoy INC / EMPIRE",16,36,16,"38266"
40,"spotify:track:6lZ5p6VTbZ2ZvnsdTlLv7I","CKay","Emiliana","WM South Africa",21,41,16,"37824"
41,"spotify:track:7sSpKoxxtecQry1wxVmpIz","BNXN fka Buju","For Days","T.Y.E. / EMPIRE",12,45,9,"37438"
42,"spotify:track:0z0hrjBtCLS8WnQXWtKOWP","Zinoleesky","Rocking","Marlian Music",10,40,15,"37325"
43,"spotify:track:2koM4vqlpUzeRbNkjsDBwF","Darkoo, Black Sherif","Always (feat. Black Sherif)","Atlantic Records UK",7,46,14,"37112"
44,"spotify:track:3vTW0qXIitjhZW5kfTwBTv","Davido, Focalistic","Champion Sound","Columbia",19,42,16,"36416"
45,"spotify:track:5e6Em24aptMFZaDCsvBJpu","Naira Marley, Zinoleesky","o'dun","My Type Of Music",30,64,4,"35394"
46,"spotify:track:2FeBslNBMdR9V58uv6hd2t","Kendrick Lamar","N95","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",10,32,3,"34834"
47,"spotify:track:574QNMkQGedluLOgr275s9","Black Sherif, Burna Boy","Second Sermon - Remix","Blacko Mgt. / Spaceship Records",14,48,16,"34787"
48,"spotify:track:1iM0xHlmZPGZ8gdbPXtUgN","T.I BLAZE, Skiibii","Kilo","Dvpper Music",48,54,5,"34673"
49,"spotify:track:0pq7v5FzfN7pv4qVk173a5","L.A.X","Waist Drop","Rasaki Music Ltd / EMPIRE",30,30,2,"34643"
50,"spotify:track:00ZYd7GYdFrNZFQP5O5T5m","Ajebo Hustlers, Fave","In Love","The Plug Entertainment",50,-1,1,"34356"
51,"spotify:track:6jdTkoEaer7XNGSblczoSu","WizKid, BNXN fka Buju","Mood (feat. Buju)","Starboy/RCA Records",29,52,16,"34234"
52,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",52,-1,1,"34171"
53,"spotify:track:0aMOalD335v1hsSXmLURzz","Rema, Chris Brown","Time N Affection","Mavin Records / Jonzing World",5,57,10,"33354"
54,"spotify:track:5g3jjHX7Ao5J8EuoouVcjc","Dj Boat","Sip (Alcohol)","LMW Enteaiments",24,49,16,"33263"
55,"spotify:track:4cL6ewTK0FjZKtbajym8zp","Reminisce, BNXN fka Buju, D Smoke","Hustle","LESROSESROUGE ENTERTAINMENT",20,47,15,"32927"
56,"spotify:track:0kmVNMFtYuiN3vjyxsyZZS","Rema, AJ Tracey","FYN","Mavin Records / Jonzing World",6,51,12,"32439"
57,"spotify:track:1OoPhcM78evXIxjmSzCnmf","Ayra Starr","Bloody Samaritan","Mavin Records",28,58,16,"32111"
58,"spotify:track:6SLhDU3r8FLmESRyWZypjT","Young Jonn","Dada","Chocolate City Music",17,55,11,"31092"
59,"spotify:track:5wRZwN6VCb0rWxG2HUbaUx","Mohbad","Ronaldo","Marlian Music",59,-1,1,"30997"
60,"spotify:track:7pb3dKlebKOzVzT7fy9fJ7","Lil Kesh, Joeboy","Vanilla Bottega (feat. Joeboy)","Ziiki Media",34,34,2,"30978"
61,"spotify:track:3k9Y1OBtIdPQNqbKILvJcD","Aṣa, WizKid","IDG","Platoon",4,63,14,"30165"
62,"spotify:track:4NLFnAPoMAiuuK8iXnit6W","Reekado Banks","Ozumba Mbadiwe","OtherSide Media Limited",11,60,16,"28992"
63,"spotify:track:50FX5UhHPAZQCL0rm0cZm6","Zinoleesky","Gone Far","Marlian Music",43,59,16,"28985"
64,"spotify:track:6nLdg1lpE3dHLmNam1aoA6","Ruger","Dior","Columbia",22,73,16,"28949"
65,"spotify:track:6tTeRmhhuwDl5Y4UiJdHuO","Omah Lay, Justin Bieber","Attention","Sire",4,62,13,"28454"
66,"spotify:track:0m65pnkFyJ5w8vMjYTCsI5","Skiibii","Trenches","More Grace Music, Distributed by Dvpper",34,69,11,"28395"
67,"spotify:track:4upQnh3K5k1xbVOr97fdG7","Kizz Daniel, The Cavemen.","Oshe (feat. The Cavemen.)","FlyBoy INC / EMPIRE",27,61,16,"28317"
68,"spotify:track:1rWxa2PtZT1S1mr6Jxm86B","Victony","Chop & Slide","The Plug Entertainment",14,56,4,"27791"
69,"spotify:track:7e9FvhmqibLIhZ6x8bKyT4","Adekunle Gold, Lucky Daye","Sinner","Afro Urban Records",51,65,16,"27686"
70,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",67,67,9,"27193"
71,"spotify:track:19WpswuyqY3PCBkdGDHvVD","Victony, KTIZO","Jolene","The Plug Entertainment",29,78,4,"27164"
72,"spotify:track:6GkFcz1YNlGwDVyGSgwp3k","ArrDee","Come & Go","Universal-Island Records Ltd.",21,74,13,"27024"
73,"spotify:track:5ibf0QRiCeCmlFlNb7otEP","Niphkeys, Zinoleesky","Blessings","Soundhub Ent. / Dvpper Music",32,68,16,"26721"
74,"spotify:track:10m1yYuud3w7bb43srjbWi","Ruger","Snapchat","Columbia",15,77,16,"26382"
75,"spotify:track:4yaPPFIafaVaMRHZ5IHkbA","1da Banton, Kizz Daniel, Tiwa Savage","No Wahala - Remix","Squareball Ent. Limited",38,72,13,"25625"
76,"spotify:track:1DrfpnLvbwndPScRLwbUE0","Kizz Daniel","Pour Me Water","FlyBoy INC / EMPIRE",42,70,16,"25510"
77,"spotify:track:4ucXeGcKKzubgHb932T6sl","AV","Confession","AV",67,79,16,"25288"
78,"spotify:track:4NG1th0egF9bbKOGUKvca7","Mohbad","Backside","Marlian Music",31,76,16,"25201"
79,"spotify:track:6gI9b2VsoWhjhIuIeToDVs","Kendrick Lamar, Blxst, Amanda Reifer","Die Hard","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",19,53,3,"25147"
80,"spotify:track:3PnkEOvEKu7s2qQJ5mHpNl","Wande Coal","Come My Way","Starstruck Management / EMPIRE",32,81,16,"24229"
81,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",39,75,8,"24198"
82,"spotify:track:1tDf8B65kTrz87w5RJmgXG","Olamide, Wande Coal","Hate Me","YBNL Nation / EMPIRE",7,80,15,"24135"
83,"spotify:track:5BvgeXx2O2ylxYmFb3y3Q8","Boy Spyce","Nobody","Mavin Records",64,91,7,"23454"
