rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:56kyGGwLIVAR30ZFiASn8Q","Ballinciaga, David Mokel","Dans På Bordet","Virgin Music Label And Artist Services",1,1,16,"887389"
2,"spotify:track:2Ah0Z0ZFAhmfyJAakATMCR","Roc Boyz","Creem","Kiil Records",2,5,13,"684523"
3,"spotify:track:25DxQM0bG7kbj2js8NCO9v","Beathoven, Henrik von Grogg","STAY KEEG","WM Norway",1,2,6,"644086"
4,"spotify:track:2kPukYbkTVuvaNn4HhIPBW","Ballinciaga, Kris Winther","Beklager (Guttaklubben)","Virgin Music Label And Artist Services",2,4,9,"640672"
5,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,3,9,"615897"
6,"spotify:track:7iKUMPi3CcDLLNF4pU1vND","Olivia Lobato","Syrener","Universal Music AB",5,7,5,"583352"
7,"spotify:track:70KdADbxWK0MAVXj0YvWDi","Roc Boyz, Greekazo","Bonanza (feat. Greekazo)","Virgin Music Label And Artist Services",2,6,10,"559781"
8,"spotify:track:4olmG0sFJ6L0LVI8ssiZFz","vinni","glorie","MER Recordings AS",4,8,25,"544308"
9,"spotify:track:3h2IRgTZrU4hSNCePszT23","UNDERGRUNN","Italia","UG Records",9,12,9,"493124"
10,"spotify:track:1ei3hzQmrgealgRKFxIcWn","Benson Boone","In The Stars","Warner Records",4,10,5,"451865"
11,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",9,9,2,"385941"
12,"spotify:track:56oWBEoaWwiyaPLe0PqB0k","Kevin Lauren, Ballinciaga","TANTE","Universal Music AS Distributed Labels",3,11,13,"368952"
13,"spotify:track:2coLAzVouJE4BC8lrKbDLk","Karpe","PAF.no","A & K",1,15,18,"357843"
14,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",13,14,7,"357207"
15,"spotify:track:1bgKMxPQU7JIZEhNsM1vFs","Alesso, Zara Larsson","Words (feat. Zara Larsson)","10:22PM",15,19,6,"338323"
16,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",16,-1,1,"334557"
17,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",17,46,3,"316487"
18,"spotify:track:1fl1aY5bCIv0cin4a2YadF","Hagle, ZadeKing, Blåsemafian","Høl i potta","Universal Music AS",13,13,2,"312621"
19,"spotify:track:0KQRhak4Irr2CKxgQ9U6ay","Madeline The Person","MEAN!","Warner Records",13,16,5,"308010"
20,"spotify:track:6xb3ooLtkGkl4j1rGPmGKz","Ramón","ok jeg lover","Universal Music AS",1,20,15,"283330"
21,"spotify:track:1QrKkPNEmTyjKF2UsVuBe2","Makosir, William Gamborg","Holder igjen","Virgin Music Label And Artist Services",21,21,2,"268332"
22,"spotify:track:4rU71m6Drus4eG3S4AQu3e","Ballinciaga","Hot Boy Summer (Daydream 2022)","Ballin' Records",17,24,16,"266799"
23,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",23,-1,1,"265983"
24,"spotify:track:3IVkcYvMiqvRKa4ip0E7a8","Ballinciaga, Kevin Lauren","Loud Luxury 2022","Virgin Music Label And Artist Services",3,22,34,"260674"
25,"spotify:track:5W0vXbzlhGs8j0AEFs4P7p","Cezinando","Kokt à la mode","Universal Music AS",25,-1,1,"256432"
26,"spotify:track:50Cf2eYv8zT3v2HAkwhIiL","Subwoolfer","Give That Wolf A Banana","Universal Music AS",5,17,17,"249519"
27,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,29,80,"247951"
28,"spotify:track:7fYRg3CEbk6rNCuzNzMT06","Calvin Harris, Dua Lipa, Young Thug","Potion (with Dua Lipa & Young Thug)","Columbia",28,-1,1,"244556"
29,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",18,39,13,"243244"
30,"spotify:track:4vXBW2z1uXXyMvCkDG6c5Z","Synne Vo","Lykke te","WM Norway",30,-1,1,"243003"
31,"spotify:track:1CKzgcXfVsQwfoWA8Ft048","Ramón","17.mai","Universal Music AS",7,18,5,"242256"
32,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",7,27,8,"234682"
33,"spotify:track:1zOOl8f7qkjj0AmvlCfLyQ","Alan Walker","The Drum","MER Recordings",24,34,5,"234151"
34,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",9,44,68,"225714"
35,"spotify:track:7DwcBgdzqhFJltEaV1XF81","Post Malone, Roddy Ricch","Cooped Up (with Roddy Ricch)","Mercury Records/Republic Records",26,28,3,"221809"
36,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",22,31,7,"220382"
37,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",8,40,42,"216517"
38,"spotify:track:03OkFJQvdweiwzZcPPsQ23","Yung Slippy","Lekeland 2022","YungSlippy.Inc",10,33,13,"214850"
39,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",23,23,2,"214527"
40,"spotify:track:6qMf3eqbmToDXj7LixyK1w","Chris Holsten","Slå hjerte, slå","WM Norway",7,52,11,"210673"
41,"spotify:track:6Z165JvPnS8PYvGW8oLGLc","Lauren Spencer-Smith","Flowers","Three Name Productions, Inc./ Island Records & Republic Records",11,37,7,"202298"
42,"spotify:track:1g6pAG1re0AKUO26JJpZJ8","Capow x 2G","31 Etasje","WM Norway",7,41,9,"202198"
43,"spotify:track:0gG0dF1yexUsE8OO7mq8Kn","Sportsalleen, gangCBang","Suksé 2022 (Hjemmesmæck)","Blue Balls Records",18,32,25,"199635"
44,"spotify:track:2XAup2iHm6t3UK4Hsjkkwy","Aiba","Sympati","RCA Records Label",2,53,13,"195361"
45,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",45,45,3,"192323"
46,"spotify:track:2Y7npn076wSZJgH8HVr2B2","Halva Priset, Maria Mena","Den fineste Chevy'n","All In/GG Music",1,55,66,"191610"
47,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",19,57,41,"182810"
48,"spotify:track:3i058E8uxTsYqJ5NWZzqSj","Harry Styles","Little Freak","Columbia",26,26,2,"176035"
49,"spotify:track:4RAR8g8fZNB106ezUurnE0","Kygo, DNCE","Dancing Feet (feat. DNCE)","Kygo/RCA Records",8,56,14,"175994"
