rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0OdztoASgKBBNcAgtErk0X","Abdul Hannan, Rovalio","Bikhra","2636621 Records DK",1,1,4,"250984"
2,"spotify:track:6qrifdo7QINdPQr80IelGi","Rovalio, Abdul Hannan","Iraaday","Rovalio",2,2,4,"189245"
3,"spotify:track:7lvDsmTRXFE3dK4OjvRiWB","Shae Gill, Ali Sethi","Pasoori","Giraffe Pakistan",2,3,4,"149075"
4,"spotify:track:5W7DOVGQLTigu09afW7QMT","Sidhu Moose Wala","295","Sidhu Moose Wala",4,151,4,"123368"
5,"spotify:track:5B4YQN1FCuADJ0o4phAtwC","Shubh","NO LOVE","Malsons-Shubh",3,4,4,"113800"
6,"spotify:track:29m79w9xPMH4YCD6r8JSmV","AP Dhillon, Gurinder Gill, Intense","Excuses","RUN-UP RECORDS",4,5,4,"95296"
7,"spotify:track:6KtSNVgCmQEvDgIuHoXAkT","Azaan Sami Khan","Ik Lamha","AZEL RECORDS",6,6,4,"78579"
8,"spotify:track:7B4uYqxTpTOS1sgxFB9Ann","Sidhu Moose Wala","The Last Ride","Sidhu Moose Wala",8,-1,1,"77252"
9,"spotify:track:6ePcfMCQ7uUKwAamUiVtXL","Hasan Raheem, Justin Bibis, Talal Qureshi","Peechay Hutt","Giraffe Pakistan",6,9,4,"73129"
10,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Kingsclan Records",7,7,4,"72098"
11,"spotify:track:2LCvypYL9a21Hln4A4EdWU","Abdul Hannan","Haaray","2636621 Records DK",11,11,4,"64663"
12,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",8,8,4,"61458"
13,"spotify:track:5pcmtf1lwrMqmAWWm248fY","AP Dhillon, Gurinder Gill, Various Artists","DESIRES","RUN-UP RECORDS",10,10,4,"60332"
14,"spotify:track:605r6rtj7kBlJwZWmYx1Dt","Shubh","WE ROLLIN","Malsons-Shubh",13,15,4,"56202"
15,"spotify:track:3UhmuWcFaLS3AO3kI9ynQ2","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","Insane","RUN-UP RECORDS",12,12,4,"55614"
16,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",14,14,4,"50147"
17,"spotify:track:3yBbbbZNbo4ymn99Y2zoCj","Faisal Kapadia, Young Stunners","Phir Milenge","Giraffe Pakistan",11,13,4,"47874"
18,"spotify:track:0NLkVxf0PyxsXBG3EuZcJf","Anuv Jain","Gul","Anuv Jain",17,17,4,"45094"
19,"spotify:track:0snQrp1VaY5Pj1YIHRJpRJ","Aditya A","Chaand Baaliyan","Sony Music Entertainment India Pvt. Ltd.",13,16,4,"45067"
20,"spotify:track:6TClJ8jXi3OBV7gcrU3jx5","AP Dhillon, Gurinder Gill, Various Artists","TERE TE","RUN-UP RECORDS",17,18,4,"40625"
21,"spotify:track:5ZCHWdMgsdoo78m9prkhOR","Rap Demon, Talha Anjum, Umair","Agency","High Zone Records",19,19,4,"38266"
22,"spotify:track:1iZLpuGMr4tn1F5bZu32Kb","Harrdy Sandhu","Bijlee Bijlee","Universal Music India Pvt Ltd.",20,20,4,"37156"
23,"spotify:track:1AueyZtYgEluDu54CfCSKy","Gurinder Gill","Brown Munde","Silence Recordz",23,24,4,"37016"
24,"spotify:track:6btas8Eignhw8yKp4VJvGi","Shubh","ELEVATED","Malsons-Shubh",24,28,4,"36024"
25,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",23,23,4,"35671"
26,"spotify:track:7k6QR9YHyW258yVN6FHO1T","OAFF, Savera, Lothika, Kausar Munir","Doobey","Sony Music Entertainment India Pvt. Ltd.",22,22,4,"35504"
27,"spotify:track:2l3dFxtoSMgMQVyRIUHjpz","Mitraz","Akhiyaan","Mitraz Records",27,72,3,"35364"
28,"spotify:track:5mnvugwfFYnJm9zuyGkgqF","Asim Azhar, Zenab Fatimah Sultan","Ghalat Fehmi - From ""Superstar""","Hum Films",25,25,4,"34278"
29,"spotify:track:2PcGqmKToUz0s65q1Acg7d","AP Dhillon, Shinda Kahlon, Gminxr, Various Artists","SPACESHIP","RUN-UP RECORDS",23,26,4,"34119"
30,"spotify:track:6NEEbZXla00cRzXErdNZ6k","Abdullah Siddiqui, Atif Aslam","GO","Giraffe Pakistan",16,21,4,"34048"
31,"spotify:track:4faDlXyZMSxEuxBdd5gDIz","AP Dhillon, Intense","Toxic","RUN-UP RECORDS",29,33,4,"32359"
32,"spotify:track:3D0pmiK3zyF9PudyJ8mkor","AP Dhillon, Amari","Ma Belle","RUN-UP RECORDS",24,27,4,"32074"
