rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4uOHYc6dCVLcNdQBRUlA0G","Mata, FUNDACJA 420","PATOPROHIBICJA (28.01.2022)","SBM Label",1,-1,1,"2882113"
2,"spotify:track:7kRCfAV3W39reD8Tjie8jP","2115, Bedoes, White 2115, @atutowy, Abel de Jong","BEDOESIARA","2115",2,-1,1,"2579421"
3,"spotify:track:01ss574aTs8b4E1fL1yDDW","Oki","Jakie To Uczucie?","2020",3,3,3,"1684199"
4,"spotify:track:0dorKIz071s55Jy0zxb4aW","Mr. Polska, Abel de Jong","Złote Tarasy","MyMusic",1,2,8,"1649954"
5,"spotify:track:032CWjRKDdkVHAsrdgOj1w","Smolasty, 730 Huncho, Nearr","Pijemy Za Lepszy Czas","WM Poland/WMI",5,-1,1,"1425649"
6,"spotify:track:05vIFEbXYpmGOsLgWZVJCX","Oki","Jeżyk!","2020",2,5,8,"1344086"
7,"spotify:track:7u67sgTIVLxqkQTDIBTw2K","Sentino","Midas","Sicarios",1,1,2,"1246795"
8,"spotify:track:785dMrfsQWxg1hcPWXnyli","Białas","Zosia","SBM Label",3,4,4,"1242155"
9,"spotify:track:7ApeFeWYcnTTGOpo5b9Yx6","Alberto, Josef Bratan","La Manga","GM2L",5,8,4,"1118367"
10,"spotify:track:15TrHBCTobTCJ4ojq9mABc","Miszel, Kabe, Premixm","dres","QueQuality",6,6,9,"1109511"
11,"spotify:track:2KTfSSKBBfMLXwDqrtoOE5","sanah, Dawid Podsiadło","ostatnia nadzieja","Magic Records",3,12,7,"971553"
12,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,7,9,"954120"
13,"spotify:track:7mJlWux2bUOGUFMyCeDU8R","Tribbs, Kubańczyk","Zatańczysz ze mną","Unified Songs",13,34,2,"913661"
14,"spotify:track:1exAqJDmOQJiwenSklhP0Q","Kinny Zimmer","Zegarek ze Szwajcarii","SBM Label",4,9,5,"900057"
15,"spotify:track:0IeTXtlaZaJ31r0TfPu6Gc","sanah, Kwiat Jabłoni","Szary świat","Magic Records",1,11,11,"891702"
16,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",16,-1,1,"870617"
17,"spotify:track:1kuw8HFbvgAg3tNqPj00Mb","SB Maffija, White 2115, Białas, Kinny Zimmer, Bedoes, Pedro, francis","Lawenda","SBM Label",1,13,20,"806894"
18,"spotify:track:2MB3DbFviuZX3HJHBa8kFg","Tromba, Bomba KRK, Zeju POG","ŚMIECI WYWÓZ","Universal Music Polska Sp. z o.o.",6,10,4,"766671"
19,"spotify:track:4Xq0cVrd0JDXQ0p3mlKAr3","DR. VODKA","KOKAINA","3384000 Records DK",9,15,6,"761978"
20,"spotify:track:41UYfhZqeITq1gQJVstvG5","2115, Bedoes, White 2115, Kuqe 2115, flexxy2115","WIĘCEJ DYMU","SBM Label",3,16,5,"746313"
21,"spotify:track:3xyEgP4dQbnQtLoYDCKzEv","Sentino, Nitro, MASNY BEN, mgng","Trójkąt Bermudzki","Sicarios",1,14,11,"714604"
22,"spotify:track:2jG3STVcZ9fjYlhXPi7nJ1","Malik Montana, DaChoyce, SRNO, The Plug","Jetlag (feat. The Plug)","Epic/Malik Montana",1,17,17,"706222"
23,"spotify:track:0e9dWwZD9EemG1w92C3JLp","Reto, Avi","BMW","spacerange",5,21,16,"673003"
24,"spotify:track:00h3UmLzktuyywU2faS7os","Kizo, Wac Toja, BeMelo","Lot","spacerange",6,23,8,"643636"
25,"spotify:track:4yRqjKmYzKutOFsQRaDAkV","Malik Montana, Kazior","Self Made","GM2L",25,-1,1,"631662"
26,"spotify:track:5sGv8YdAa3XjggnbpF9NC9","Mata, Trooh Hippi","Szafir","SBM Label",1,28,35,"630785"
27,"spotify:track:06cJ7hTMrHG7ajs0no3XJw","White 2115","18","SBM Label",27,-1,1,"626012"
28,"spotify:track:0Vm4VKVkSvKLyAHm6XWrfx","Young Igi, Żabson","Robotniczy Trap","Universal Music Polska Sp. z o.o.",5,18,11,"620558"
29,"spotify:track:2bhyuZ4ZXmLFCTWt18U2v7","Otsochodzi, Oskar83","WWA Melanż","2020",29,-1,1,"617603"
30,"spotify:track:0oF40HEGBYbYQufEtB81BM","Sentino","Lato","Sicarios",17,20,8,"598911"
31,"spotify:track:6IVFyySW33VfordEuGDPHk","SB Maffija, Bedoes, White 2115, Kuqe 2115, flexxy2115, BLACHA, Kubi Producent","Proste fakty","SBM Label",3,22,18,"590109"
32,"spotify:track:7CRfTE9FGb9YdSvoGhl2IP","Dawid, Artysta, Vłodarski, VHS, Zebraodzawsze, zawad","Pakuje Walize","New Age Label",13,24,12,"588727"
