rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4xd1Qg8JbuxXAc5fJQI5P5","YNY Sebi, Bogdan DLP","Tarabanele","Big UP Music",1,1,5,"132091"
2,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,2,9,"102920"
3,"spotify:track:60sy8u1IoawaNCSKG0g7t9","RAVA, Iustin","IN LIPSA TA","Seek Music",1,3,12,"92226"
4,"spotify:track:2RKuEYbimyHurRAlqE8Tgf","Beach, Please!, Gheboasă","DĂ-I ȚIGANCA","Global Records",4,-1,1,"87660"
5,"spotify:track:62oHVZYgTX6DqaHQPWVIuU","Beach, Please!, Berechet","112","Global Records",5,5,5,"83557"
6,"spotify:track:5OWc2Do2QpzlrfPASWjbTX","Azteca, Amuly, Rava","A Â","(C) & (P) 616 Records 2022",3,4,8,"76991"
7,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",7,-1,1,"72890"
8,"spotify:track:1YvYEbR7ITXJ0Msk4ORZxY","Ian","Lumea asta","New World Order",2,6,15,"72456"
9,"spotify:track:6VcmY5O2WE00BaF9fomffm","RAVA, NOSFE, YNY Sebi","CUM SE MIȘCĂ","Seek Music",1,8,12,"70519"
10,"spotify:track:7q7KhsazHZG8EM8Qt08YmO","RAVA","BULIBA$HA","Seek Music",7,12,23,"64997"
11,"spotify:track:5jjPoxrz3NRainOx1DtAPv","Ian","Urgențe","New World Order",3,9,15,"64885"
12,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",5,13,30,"59495"
13,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",3,11,72,"59072"
14,"spotify:track:6EIBhgEms3hJczZMzB7iTX","RAVA","Giulesti Crangasi","Seek Music",14,17,63,"54397"
15,"spotify:track:7l1amnUcwOBdJQtLEmMKNi","Tzanca Uraganu, Manele Mentolate","Banii","Manele Mentolate",2,19,45,"51630"
16,"spotify:track:4uW2VwxS4K9D22JLJd38ym","Killa Fonic","Niciun Glonț Nu Doare Cât Dragostea","KHK",5,14,38,"50489"
17,"spotify:track:1bQVPUUy0VMcqpIRtByrpN","Bvcovia, Petre Stefan","Bonsai","YOYOYO Music",6,18,10,"48355"
18,"spotify:track:7Enmh2pt5fiYgoNlbzK70K","Ian","60 De Zile II","Ocult Records",18,22,126,"47653"
19,"spotify:track:19sbsJ3EPMs1nQdmMXCFFi","RAVA","$P$ - Studio Session #02","Seek Music",19,48,14,"47471"
20,"spotify:track:3yZRQkgxHkFQ6fSjMFNtwy","RAVA, Azteca, Dj Sfera","Champs-Élysées","Seek Music",16,20,23,"46157"
21,"spotify:track:4KoesiedslACxSRFunogFJ","Killa Fonic, Delia","Cum Am Știut","Global Records & Roka Records",4,27,6,"45429"
22,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",7,7,2,"45268"
23,"spotify:track:0HQrHYghOsf7UVcBdSFRa2","Tussin, Azteca, Amuly","Sensibil La Lumina","Young G / Krack House Studio",18,23,17,"45179"
24,"spotify:track:1HWGnsNTDgkmefYwMcMSqi","Nane, Delia","ÎN RAI","Global Records, nopartyboys, Roka Music",4,25,62,"45038"
25,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",1,56,36,"44815"
26,"spotify:track:46DsHSqrMxCtIe7bQFrid3","Cristi Mega","Janes Romanes","Cristi Mega Music",19,60,35,"44790"
27,"spotify:track:3doVrLRkbLOBQUosLxiw9S","Marko Glass","Audemars","R2 Records",1,32,18,"44686"
28,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",21,30,39,"44370"
29,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",9,37,102,"43869"
30,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",18,35,30,"43494"
31,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",31,-1,1,"42890"
32,"spotify:track:4X1KfuOJRRDOZi1JgfxbN9","Bvcovia, Marko Glass, Alberto Grasu","Praf","YOYOYO Music",20,41,32,"41795"
33,"spotify:track:4XLLdFJdwmvdtkwQuXAFut","Ian","La san","New World Order",17,39,8,"41713"
34,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",1,44,31,"41690"
35,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",8,34,8,"41310"
36,"spotify:track:0sZ2NzGyCvQEwHS7yKaW3u","Bogdan DLP, YNY Sebi","COLA","Big UP Music",36,38,2,"41224"
37,"spotify:track:2HtMuOtkOxibDrnRRGzpNS","Tussin, RAVA, Amuly, Dafiend, Xeno","Ora 6","Young G / Krack House Studio",8,46,30,"40962"
38,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",5,53,66,"40004"
39,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",10,43,23,"39999"
40,"spotify:track:7cqBCPSg3gGx5WLcThHq0c","Azteca, Ian","Nefiu","(C) & (P) 616 Records 2022",24,51,119,"39484"
41,"spotify:track:5IqPGGvekdnZis9XhcyXeh","M.G.L., ZIOAN","CONTACT FATAL","M.G.L.",1,50,14,"39462"
42,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",3,52,49,"39204"
43,"spotify:track:6tJMxmseUPWIc86g4E7rDp","Tussin, Napu","220V","Young G / Krack House Studio",43,71,13,"38322"
44,"spotify:track:5wQYjcX7kA26lF4pIcNVnP","Ian","Veste","New World Order",3,49,10,"38315"
45,"spotify:track:4szVVLf2Rb7C7u0cSxK0qt","Carla's Dreams","Înapoi","Global Records",45,-1,1,"38273"
46,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",45,59,7,"38191"
