rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"121841"
2,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",2,-1,1,"85736"
3,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",2,4,27,"77327"
4,"spotify:track:2GQB3Xe1J9D2sK90AtHfhI","Lamya Almalki | لمياء المالكي","شفت النجوم","Moment group",1,2,5,"77087"
5,"spotify:track:5kQCI3faUHASM28R91ksUY","Ahmed Saad","Aleky Eyoun","Mazzika Group",3,3,9,"77003"
6,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",3,5,61,"67898"
7,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",2,6,63,"57115"
8,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Negative Gain Productions",8,8,28,"54925"
9,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",1,7,31,"51943"
10,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",5,10,76,"49656"
11,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",10,12,84,"48003"
12,"spotify:track:1ABd3bWsG4FCKePjXeVfJG","Meiko","Leave The Lights On","Fantasy Records",11,11,14,"43954"
13,"spotify:track:6ChnGkBwnq2HUJD24YhMhW","Cheriimoya, Sierra Kidd","Living Life, In The Night","Cheriimoya",13,19,48,"42897"
14,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",8,16,22,"42627"
15,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,9,47,"42304"
16,"spotify:track:3CLSHJv5aUROAN2vfOyCOh","DVRST","Close Eyes","DVRST",14,15,35,"41721"
17,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,13,45,"40961"
18,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",11,17,38,"39908"
19,"spotify:track:10IfXtjKQmOiON7tNAHv0y","JIN","Yours","에이스토리, 모스트콘텐츠",13,38,14,"39210"
20,"spotify:track:5u6I8MExcbewu6VcSnI1Sc","ِEmad Basha","باشا باشا","Maqam Music",2,18,30,"35411"
21,"spotify:track:7crSbQ5sZmLWx9aKqdReXa","Ghostly Kisses","Heartbeat","Akira Records",7,23,10,"35292"
22,"spotify:track:7DFNE7NO0raLIUbgzY2rzm","Passenger","Let Her Go","Nettwerk Music Group",18,24,22,"35031"
23,"spotify:track:62ke5zFUJN6RvtXZgVH0F8","Paloma Faith","Only Love Can Hurt Like This","RCA Records Label",23,34,5,"34940"
24,"spotify:track:0F66LkXiihhVNKpWSqKgjy","بدر العزي","كلمني","Alfan Music",12,21,28,"34051"
25,"spotify:track:0k0VqzEeRxXabt6ujlUYxb","Astekan Khaleji","Batloub El Ghali","Rock records",25,95,2,"33506"
26,"spotify:track:5hiQSNo6jQbQ2m2gBZs7bU","Muslim - مُسلِم","Etnaset","Digital Sound",1,26,31,"31901"
27,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",19,29,24,"31900"
28,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",4,27,45,"30451"
29,"spotify:track:4xqrdfXkTW4T0RauPLv3WA","Conan Gray","Heather","Republic Records",29,37,65,"29808"
30,"spotify:track:5kdlxZ5skOYY3VK8RlfEIZ","Wegz","البخت","Takwene",15,32,14,"29366"
31,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",31,41,50,"28711"
32,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",14,14,2,"27760"
33,"spotify:track:6IAZHEBUIGJ6NJKxxOBIEr","Adele","Rolling in the Deep","XL Recordings",2,35,36,"27322"
34,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",13,39,34,"27025"
35,"spotify:track:2h9VSz8bhwaVXaSFdRrUXM","Raad And Methaq, Methaq","Yekhnog","Al Haneen",31,31,3,"26907"
36,"spotify:track:2WzAAerBvZvvFXgUpSwHZ9","PLAYAMANE, Nateki","MIDNIGHT","PLAYAMANE",36,189,2,"26800"
37,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",6,49,131,"26721"
38,"spotify:track:3M214U0mwSm041GsQR3nrO","BoyWithUke","Toxic","Republic Records",2,33,34,"26709"
39,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",22,22,2,"26493"
40,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",25,25,4,"26466"
41,"spotify:track:3AVrVz5rK8Hrqo9YGiVGN5","Cigarettes After Sex","Apocalypse","PTKF",41,59,28,"26270"
42,"spotify:track:5EKVL6XHsGCWeMik7XBMh8","Abdul Majeed Abdullah","Ghazal Ma Yensady","Abdul Majeed Abdullah EST",19,40,22,"25865"
43,"spotify:track:6nGeLlakfzlBcFdZXteDq7","Indila","Love Story","Universal Music Division Capitol Music France",26,43,5,"25812"
