rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2sXnat46y10FtAbW2A0ira","Calin","Hannah Montana","WM Czech Republic",1,2,12,"101962"
2,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,1,9,"88908"
3,"spotify:track:2wPph50bF6qHnXgruVKHm8","P T K, Yzomandias","Baby a Benzo","CE Records",3,27,2,"62883"
4,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",4,-1,1,"57656"
5,"spotify:track:163UXyyrFlAIQapVN3DqIp","Calin","Praha/Vídeň","WM Czech Republic",3,7,37,"54166"
6,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,8,72,"50760"
7,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",2,16,31,"45776"
8,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",4,11,30,"45622"
9,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",2,12,43,"45462"
10,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",7,17,27,"43995"
11,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",11,18,13,"43623"
12,"spotify:track:3LzcbcGFtBc1mfYJ8jvWbU","Mairee, Sergei Barracuda","Bomby","Polnoc Records",3,3,10,"42193"
13,"spotify:track:1TLdCwhyeVjSXjn5OSvML8","Calin","Hannah Montana VIP","WM Czech Republic",6,19,7,"41135"
