rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:67SKXlAbYNG5nAtadBfPm0","Wanitwa Mos, Master KG, Lowsheen, Nkosazana Daughter","Sofa Silahlane","Wanitwa Mos Entertainment",1,1,3,"167905"
2,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,2,9,"140261"
3,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",2,4,5,"134930"
4,"spotify:track:5z6oqX6l6kTSPB9gSRnLzE","Uncle Waffles, Tony Duardo, Sino Msolo, BoiBizza","Tanzania","Kreativekornerr",1,5,11,"121475"
5,"spotify:track:0Ek5bneviajgSzZGonWfds","Daliwonga, Mellow & Sleazy, M.J","Abo Mvelo (feat. Mellow & Sleazy & M.J)","New Money Gang Records",1,8,11,"106082"
6,"spotify:track:2FeBslNBMdR9V58uv6hd2t","Kendrick Lamar","N95","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",1,3,3,"100598"
7,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",2,9,8,"93107"
8,"spotify:track:75VD2d6BPTuESBrzRqD6xl","Senior Oat, Kemy Chienda","All In You","The Oat Records",8,20,8,"90494"
9,"spotify:track:584B5N5x0phtVVpBtSNcPt","Wanitwa Mos, Master KG, Nkosazana Daughter, Basetsana, Obeey Amor","Dali Nguwe","Wanitwa Mos Entertainment",2,10,24,"90337"
10,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",5,11,74,"89077"
11,"spotify:track:7BH6nyhnWTSfMUwwrCYbJF","Q-Mark, TpZee, Afriikan Papi","Paris","Cloud9ne Entertainment",1,14,25,"88264"
12,"spotify:track:4eZZofkV1OQ9GDqAgHqNpA","Kizz Daniel, Tekno","Buga (Lo Lo Lo)","FlyBoy INC / EMPIRE",12,12,3,"86481"
13,"spotify:track:6gI9b2VsoWhjhIuIeToDVs","Kendrick Lamar, Blxst, Amanda Reifer","Die Hard","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",2,6,3,"83626"
14,"spotify:track:03GRsjCSytQo3LuspJayKT","9umba, TOSS, Mdoovar, Sir Trill, Sino Msolo, Lady Du, Young Stunna, Slade","uMlando","Sowetocool",2,16,20,"82958"
15,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",15,-1,1,"81240"
16,"spotify:track:6kYGOFNUMxpab09L5Ukoke","Kendrick Lamar","Rich Spirit","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",6,7,3,"80085"
17,"spotify:track:2UNdr8gnOQrVkSmLDeC59w","Musa Keys, Loui","Selema (Po Po)","Keys Records",10,23,19,"78653"
18,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",18,-1,1,"77750"
19,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",13,24,41,"73211"
20,"spotify:track:0VpVNITDUu38bpNFfD5eFZ","Mellow & Sleazy, Justin99","Chipi ke Chipi","Sound African Recordings",10,27,7,"71290"
21,"spotify:track:0dHswGoIHgWfHSraVv9mnq","Konke, Musa Keys, Nkulee501, Skroef28, Chley","Kancane","Nazma",21,-1,1,"68906"
22,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",16,30,5,"64584"
23,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",11,36,38,"62273"
24,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,32,47,"61662"
