rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2B2eoabxesVrveXDd7E0BQ","Ed Sheeran, 1.Cuz","2step (feat. 1.Cuz)","Atlantic Records UK",1,2,4,"965505"
2,"spotify:track:3RCbGcSsPFNn6NbFbLc8QT","Ant Wan","Komplicerat","Ant Wan",1,1,2,"937288"
3,"spotify:track:64s0ZmTEwVhztlrEP6Xt9J","Sarettii","MATADOR","Ringtone Records",1,3,6,"890120"
4,"spotify:track:3Tp6XRivI85TAfpgja9ILh","Miss Li","X","Pistol Packin' Music",4,5,11,"821825"
5,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,4,9,"768409"
6,"spotify:track:2NnO7FJonRjGvAjm3LwKvl","LOAM, ADAAM","FAKKA UR","Universal Music AB",1,7,10,"711733"
7,"spotify:track:7iKUMPi3CcDLLNF4pU1vND","Olivia Lobato","Syrener","Universal Music AB",4,6,6,"703747"
8,"spotify:track:1bgKMxPQU7JIZEhNsM1vFs","Alesso, Zara Larsson","Words (feat. Zara Larsson)","10:22PM",5,11,6,"628792"
9,"spotify:track:3No0idjeViPyWDP4gh1YGo","Ted Gärdestad","Jag ska fånga en ängel","Universal Music AB",9,13,3,"621808"
10,"spotify:track:3CgP1CxtvZgIYomCNuP5jG","Sickan","GET THE POINT","Sickan",7,10,3,"613884"
11,"spotify:track:1VJRxqJhpEIpnHon7ssp1p","Babblarna","Babblarnas vaggvisa","Universal Music AB Distributed Labels",5,16,179,"549185"
12,"spotify:track:697bFWgzBRm6bmnYWd8GyD","Cornelia Jakobs","Hold Me Closer","WM Sweden",1,8,14,"548354"
13,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God) - 2018 Remaster","Rhino",13,-1,1,"540710"
14,"spotify:track:04wlQQIfl6MfHuWxvEsSYO","Henric Edström","Bonaqua","Vide Records",14,14,4,"536025"
15,"spotify:track:3EsUkO1XncklrPvQaabHaz","estraden, Newkid","Tusen gånger om (feat. Newkid)","Sony Music Local",12,12,2,"525233"
16,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",9,9,2,"524828"
17,"spotify:track:2vaxUyVWNoA2L272YHEy70","Zara Larsson","Lay All Your Love On Me - Spotify Singles","Epic/Record Company TEN",17,-1,1,"500812"
18,"spotify:track:5SjWXrGT82DWuXxkMcC3DB","Jireel","MANO","WM Sweden",1,15,19,"472662"
19,"spotify:track:2VkddU9b4DSf9uFJr3HJHr","ADAAM, Philippe, Fu3go","2A","Universal Music AB",19,-1,1,"454420"
20,"spotify:track:07l5IJqrY6ERJw7HNdnM0G","Victor Leksell","Hela världen är min","Sony Music Local",6,17,11,"451409"
21,"spotify:track:1fIeKG6eI8FZzVL9mhlz8t","Bolaget","Kan Inte Gå","Valley Music Dalapop",21,80,22,"423632"
22,"spotify:track:2etg8kht5wOz5BBWNCW7pv","Joakim Berg","Aniara","Universal Music AB",22,-1,1,"414402"
23,"spotify:track:095zAxJmG96ap3ol3zVRZs","Medina","In i dimman","WM Sweden",2,22,14,"394483"
24,"spotify:track:76xREBiIGi4YK4S3KGFpdG","Joakim Berg","Barn av vår tid","Universal Music AB",24,-1,1,"387585"
25,"spotify:track:28TGtp6irVUZhTv5ytdex1","Thomas Stenström","Sista sommaren","Korpstaden Produktion",15,27,6,"375163"
26,"spotify:track:63WuQOXohQIxOxIFA2K7bR","Måneskin","SUPERMODEL","Epic",26,26,3,"367681"
27,"spotify:track:0wZjEtjXpkoO3PGjCsvF3Y","Asme","Pengar Bänga","BL",16,28,5,"367202"
28,"spotify:track:1ei3hzQmrgealgRKFxIcWn","Benson Boone","In The Stars","Warner Records",9,25,5,"356603"
29,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",6,35,44,"344673"
30,"spotify:track:7Ek3bY3DecGbIaRKo7aQVQ","Björn Holmgren","Ut med allt","Universal Music AB",1,32,8,"343388"
31,"spotify:track:03UV6Xr4KkBwN4ej2C1irI","Veronica Maggio","Heaven med dig","Universal Music AB",20,24,3,"341082"
32,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",8,29,8,"337547"
33,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",1,42,38,"335488"
34,"spotify:track:4MsSHqcST3hs4bZiSYHAZt","Dani M, 23, Shenzi Beats","Paradis","GMG SWEDEN AB",11,21,4,"331134"
35,"spotify:track:0Rjr3kZmaMQO75RGBjCFZT","Joakim Berg","Begravningsbål","Universal Music AB",35,-1,1,"330105"
36,"spotify:track:6k4e5H3MbDzhEX3qJSWwpd","Klara Hammarström","Run To The Hills","WM Sweden",1,34,14,"329809"
37,"spotify:track:7fYRg3CEbk6rNCuzNzMT06","Calvin Harris, Dua Lipa, Young Thug","Potion (with Dua Lipa & Young Thug)","Columbia",37,-1,1,"327764"
38,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",21,37,6,"320550"
39,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",6,44,51,"318952"
40,"spotify:track:5ApubzVtuXojrL0L0J6BVe","23","More Life","Virgin Music UK LAS (S&D)",13,23,3,"316510"
41,"spotify:track:38sfX72aZn0m0hpDaVjjpL","Joakim Berg","Legender","Universal Music AB",41,-1,1,"314424"
42,"spotify:track:2TcAeEJb8CKeRml6SSwmJf","Yasin, E4an","flygplansläge","BRKN",18,18,2,"311893"
43,"spotify:track:6hCXkT6H6DX6HBoOKw9la1","Joakim Berg","Låtsasvärlden","Universal Music AB",43,-1,1,"308587"
44,"spotify:track:5MEuFY2DxrozPEgGpR8Fji","Veronica Maggio","Välkommen in","Universal Music AB",37,46,41,"300395"
45,"spotify:track:7kV2ZRMkpozWRusXJ8Lr2q","Hov1","Alla våra minnen","Universal Music AB",3,41,6,"290352"
46,"spotify:track:0NXqhf7bDVLz8fGUVyzajw","Veronica Maggio","Låt mig gå","Universal Music AB",20,20,2,"287880"
47,"spotify:track:4gORd3Ws62ueWU2tQ2Fe16","De Vet Du, Bolaget","SUPA","United Stage Management Group",47,-1,1,"279058"
48,"spotify:track:7rwijx2xejRaPkEXUftI11","Sarettii","SOM DOM","Ringtone Records",1,52,36,"267178"
49,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH","Stefania (Kalush Orchestra)","Columbia Local",9,19,3,"263744"
50,"spotify:track:4q2nejfnJpmHqr2GAi09ph","Hanna Ferm, Junie","Välkommen Åter","Universal Music AB",49,49,2,"263725"
51,"spotify:track:5maA851Fle6XexgJgJzFjF","Humlan Djojj, Josefine Götestam","Djurens vaggvisa","Filtr Kids",51,67,36,"261347"
52,"spotify:track:6uvh0In7u1Xn4HgxOfAn8O","Harry Styles","Matilda","Columbia",31,31,2,"260177"
53,"spotify:track:3Jq1hSJhnH1SmoHBDvLovw","Joakim Berg","Ingenmansland","Universal Music AB",53,-1,1,"260002"
54,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",4,53,42,"258427"
55,"spotify:track:06JvOZ39sK8D8SqiqfaxDU","Kanye West, XXXTENTACION","True Love","Columbia",55,-1,1,"251690"
56,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,57,47,"249611"
57,"spotify:track:19NOk119jgj751CxrWsvOl","Jireel","SANTORINI","WM Sweden",16,43,4,"247444"
58,"spotify:track:3AQeu8617zqR2i8vYva8Jv","Joakim Berg","Var vi kom ifrån","Universal Music AB",58,-1,1,"247057"
59,"spotify:track:3nEHrvNNtgLv9rneTAYVr4","Swedish House Mafia, Connie Constance","Heaven Takes You Home (feat. Connie Constance)","Republic Records",17,56,7,"243036"
60,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",25,62,13,"242903"
61,"spotify:track:684ek6GMzzinfgalcgqsE5","ADAAM, LOLO","ABSOLUT","Universal Music AB",18,45,4,"242221"
62,"spotify:track:62MosvjGMQY3HeGPFEsmM1","Tove Lo","No One Dies From Love","Pretty Swede Records / Distributed by mtheory",28,60,4,"238670"
63,"spotify:track:30qQMtkwMQqDhXcaixzYA9","Yasin","130622 REC","BRKN",19,30,3,"236245"
64,"spotify:track:7EIhW2IWOEuOyvl1aFTCaj","Håkan Hellström, Noonie Bao","Jag vill bara va med dej","Tro & Tvivel under exclusive license to Amuseio AB",11,39,3,"233122"
65,"spotify:track:4wGFTaengFG4o6nYZAK1Xg","A36","Samma gamla vanliga","WM Sweden",1,69,60,"232544"
66,"spotify:track:4JShHeXN09OK3021PagQGO","Robin Kadir, C.Gambino, 23","Inkassera (feat. C.Gambino & 23)","WM Sweden",9,58,9,"231347"
67,"spotify:track:7DwcBgdzqhFJltEaV1XF81","Post Malone, Roddy Ricch","Cooped Up (with Roddy Ricch)","Mercury Records/Republic Records",27,48,3,"230032"
68,"spotify:track:0kwxw9zlRsNsiNPbuOMXDJ","Joakim Berg","Då var allt","Universal Music AB",68,-1,1,"229333"
69,"spotify:track:5D2ZobLrLLFcPoOWw5YE0e","Myra Granberg","Lose my mind","Columbia",2,64,59,"223220"
70,"spotify:track:6mDcLPGVCmdhMN4gBzNb7s","1.Cuz, Greekazo, Yei Gonzalez","FÖRSENT","1.Cuz",2,66,116,"222946"
71,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",2,72,49,"219211"
72,"spotify:track:1SGweEqQ6DbMye9qAGSbq2","Joakim Berg","4","Universal Music AB",72,-1,1,"218739"
73,"spotify:track:7iSuirVvJsBXZ95UEd9vQ0","Molly Sandén","Vi ska aldrig gå hem","Milkshake",9,71,35,"218276"
74,"spotify:track:6Pqrm55DFjQZQi8jC2yBVa","23","Länge Leve Vi","Virgin Music UK LAS (S&D)",1,75,19,"217728"
75,"spotify:track:3nhGk6VnrDHy67pXvMhdPa","Sam Ryder","SPACE MAN","Parlophone UK",16,33,3,"215111"
76,"spotify:track:2gwirjNHYJPlBwOJ5Aftwv","Albin Lee Meldau","Josefin","Mayfly Recordings",14,79,58,"212691"
77,"spotify:track:3i058E8uxTsYqJ5NWZzqSj","Harry Styles","Little Freak","Columbia",40,40,2,"210414"
78,"spotify:track:63IaMjanvXp9c3f0Y7OImT","Einár, ADAAM","DANSA","Einár",2,73,36,"207603"
79,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",44,81,52,"205936"
80,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",26,76,41,"205849"
81,"spotify:track:50Cf2eYv8zT3v2HAkwhIiL","Subwoolfer","Give That Wolf A Banana","Universal Music AS",15,38,3,"204561"
82,"spotify:track:0ZHViFUBdQEvfZbhZwZhPg","Joakim Berg","Mer än ingenting","Universal Music AB",82,-1,1,"203113"
83,"spotify:track:2Gd0oV24QsH0zb9nKFx7s5","Hov1, Einár","Gamora","Universal Music AB",1,77,65,"201649"
84,"spotify:track:2Rnovc1XuaXP1yc7X1AqbK","Hov1","Två steg från helvetet","Universal Music AB",2,70,14,"199636"
