rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:72OVnXDzugvrCU25lMi9au","WeiBird","如果可以 - 電影""月老""主題曲","Sony Music Entertainment",1,1,30,"333874"
2,"spotify:track:07plVccQ0N6FTTTonk3c2M","EggPlantEgg","閣愛妳一擺","茄子蛋EggPlantEgg",2,3,25,"245467"
3,"spotify:track:6jNy9WM3zyvG9E5bdVALl8","告五人","好不容易 (《華燈初上》片尾曲)","Bin Music International Limited",2,2,25,"237944"
4,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,4,47,"206801"
5,"spotify:track:1GpbSYjurHKlxhcxCZ1Bqa","小阿七","从前说","一寸光年",5,7,17,"206729"
6,"spotify:track:1bQHKplf5fkkecalhAgYp0","A-Lin","摯友","Sony Music Entertainment",6,10,4,"198358"
7,"spotify:track:4fJlSLYLiu5trFCMZdSQDC","EggPlantEgg","愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲","茄子蛋EggPlantEgg",1,5,64,"196799"
8,"spotify:track:2VEt42QSQxILgEf9B50xxm","理想混蛋","不是因為天氣晴朗才愛你","何樂音樂有限公司",6,8,136,"194517"
9,"spotify:track:6XBL9naPxZjATbmGAWGJ9V","Ren Ran","飞鸟和蝉","北京千和世纪文化传播有限公司",1,6,92,"193388"
10,"spotify:track:6T7oK4eP3Tezw4Ogy7q6KO","Cyndi Wang","愛你","豐華大聲好樂",10,118,2,"181675"
11,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",9,9,9,"178418"
12,"spotify:track:1IVj6CsBbTgOEpo0W6hgwN","张远","嘉宾","华声时代",6,12,39,"176880"
13,"spotify:track:296nXCOv97WJNRWzIBQnoj","LE SSERAFIM","FEARLESS","SOURCE MUSIC",7,13,5,"170307"
14,"spotify:track:1Ytgo9ipdlTsf6wlg6sXf3","告五人","在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲)","Bin Music International Limited",2,11,74,"167862"
15,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",4,15,38,"163806"
16,"spotify:track:6akVETVeqqPVvuBS5e0EB1","Eason Chan","孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲","Universal Music Ltd.",16,18,11,"159056"
17,"spotify:track:5VymCvfV0FguCa7zrIPSgk","Xiao Bing Chih","毒藥","Bin Music International Limited",14,14,6,"156220"
18,"spotify:track:0l6w3GsvjJWdZHs3eXTjuL","1K","就忘了吧","一寸光年",18,24,6,"155100"
19,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",14,19,34,"152906"
