rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0SCtkG26IEKCKxJ7UmWZWa","cakal","İmdat","Perros Blancos",1,1,7,"3872925"
2,"spotify:track:62nygHWpn3wLwnZmJ8keVs","Velet","Aşk Sadece Anlayana","Müzik Bankası",2,2,3,"3238512"
3,"spotify:track:33eHMRTXayncWkfj72BI3U","Sefo","Tutsak","3TR6AP2",3,3,5,"2966056"
4,"spotify:track:72jYQj3RgTR1DFLfibD71B","UZI","ARASAN DA","Ava Music / Avrupa Müzik",1,4,11,"2614715"
5,"spotify:track:0UguFn9xs4WQshHabcxUxH","Semicenk, Funda Arar","Al Sevgilim","EVA RECORDS",3,6,8,"1905460"
6,"spotify:track:4O9hcXs1ohtbw4xnMU8wfo","Can Koç","Gökyüzünü Tutamam","Fono Müzik Üretim",6,7,11,"1872825"
7,"spotify:track:7toL7Re9rApzIuIFDaLQSe","KÖFN","Bi' Tek Ben Anlarım","Hypers",7,11,11,"1827090"
8,"spotify:track:6ALp9AUG6KFmya8JGmOxjt","cakal, Gzuz","Gostoso","Perros Blancos",5,5,3,"1784023"
9,"spotify:track:6gxLEbRJlorva6uVRW4gof","UZI","PAPARAZZI","Ava Music / Avrupa Müzik",1,8,28,"1745998"
10,"spotify:track:11AkXmBdjwu4upt22GjJrG","Berkay Altunyay","Olmazlara İnat","SONY MUSIC TURKEY",10,41,4,"1684394"
11,"spotify:track:4qcngMZ8yF98sAnFKlvXPN","Lvbel C5","GELMEZSEN GELME","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",2,10,11,"1668848"
12,"spotify:track:47zsnWIPoPSjJhZoKp5h21","UZI, Montiego","PARA","KCO MUSIC",4,9,4,"1668159"
13,"spotify:track:5S0Q8i6RTwekXnE2WU3vQi","Güneş","Suçlarımdan Biri","M.O.B. Entertainment",13,34,10,"1616491"
14,"spotify:track:5h1Zdr8ghV5RaWjtdfVo8w","MERO, Murda","Konum Gizli (feat. Murda)","Urban",14,38,3,"1550387"
15,"spotify:track:3prFQhGuWBWLGHsQstEdkb","Sefo, Revart","yarım kalır","3TR6AP2",6,13,8,"1428796"
16,"spotify:track:5mCfj3EpRzSSjm5Y5IMzzz","Sakiler","Canıma Minnet","Ozinga",9,12,6,"1390688"
17,"spotify:track:1u61m2yf7AaeGjASOpOOqR","Ezhel","Daima","StageArt Europe",13,14,5,"1304336"
18,"spotify:track:0HbKbkAMK7Wnps5vpZW4j2","No.1, Melek Mosso","Yarım Kalan Sigara","talentino*",18,21,24,"1250366"
19,"spotify:track:10n66m41IGjA2ZulKPK7Ew","Madrigal","Seni Dert Etmeler","AVRUPA MÜZİK YAPIM",1,20,112,"1241287"
20,"spotify:track:4PTjzk0gb6st9Lk5kKBnc6","Yüksek Sadakat","Kafile","DOĞAN MÜZİK YAPIM",19,24,10,"1231390"
21,"spotify:track:2FuWptjK1pc0rkVpF5O0CG","GOKO!","EVA & MIA","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",8,17,9,"1222097"
22,"spotify:track:4eDT9NP6B0OJnd5nKuBseL","Ayaz Erdoğan","Hep Mi Ben","Too Production",22,33,10,"1202050"
23,"spotify:track:3lSuzS3jEkys1ZXw4tAcRR","Sefo","Affettim","3TR6AP2",1,25,20,"1201580"
24,"spotify:track:1IquNFg2RRH1CLRAHNVgQ9","Kalben","Yara","GARAJ",5,18,15,"1199824"
25,"spotify:track:26uWcQnnhCXzkjM7OqVFlj","Canbay & Wolker","Leylim Yar","İntikal Musıc",3,22,12,"1191135"
26,"spotify:track:2RehF0hYbLDGxLTvjL0Xy6","Gökhan Türkmen","Mahşer","GTR Müzik",11,15,8,"1184680"
27,"spotify:track:3MlvEOpAgoyTx3wIx3Qdbl","Heijan, Muti","Birader","CHAOS",10,26,9,"1168049"
28,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",16,16,59,"1142466"
29,"spotify:track:39DenhkBkmDsYBpl1rAchr","Seksendört","Anlayamazsın","Poll Production",23,23,45,"1104188"
30,"spotify:track:7jPUGtOJTHPxIlWNGVqD8U","Motive","KÂR","SAVANA",14,28,19,"1088586"
31,"spotify:track:5kpkEb0M49YM516trGUSWS","Rei 6","Ah Canım Sevgilim - Demo","Rei 6",7,19,45,"1076508"
32,"spotify:track:7jnN5sT8rk6PIvBZRWYdJj","Semicenk","Herkes Gibisin","EVA RECORDS",27,27,4,"1048037"
33,"spotify:track:6TQj22qKkIAd9cuBiFlvKf","Reckol, cakal","Benimle Gel","Perros Blancos",4,29,16,"997732"
34,"spotify:track:5Qf8dlJ2zZTfztx7o7kbDN","Semicenk","Düşer Aklıma","EVA RECORDS",8,31,20,"972518"
35,"spotify:track:1vLkBVAy8ZWrqcQjYTPP3a","Evdeki Saat","Uzunlar - V1","AVRUPA MÜZİK YAPIM",10,42,106,"968273"
36,"spotify:track:4Sng3wnol2Gb2yXgFdr9lj","Dolu Kadehi Ters Tut, Sedef Sebüktekin","Gitme","Dolu Kadehi Ters Tut",13,30,166,"951623"
37,"spotify:track:2MvIexkUblP1QdpBzKot3N","UZI","CINDY","Ava Music / Avrupa Müzik",1,35,36,"942490"
38,"spotify:track:5SFBaOi2ELB2P5tFzmcD73","Diyar Pala","Anla","Pala Music",13,32,14,"931042"
39,"spotify:track:0Dq0YIwYRQ75rvrao5OwKn","cakal","Lütfen","Perros Blancos",3,36,47,"930991"
40,"spotify:track:72t3CRd8YEFrlc3x0OVaob","UZI","Umrumda Değil","M.O.B. Entertainment",2,37,63,"899109"
41,"spotify:track:6zUeLNZHEzENd8ts4V9yj2","Lvbel C5, Batuflex","GÖNDER GELSİN","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",3,40,11,"893461"
42,"spotify:track:6g6MHm9u0h2Em9Xuk89eqR","EDIS","Arıyorum","EDS Company",3,48,37,"880622"
43,"spotify:track:6GDpxEOvaXS0nbqSrFtDAQ","Lvbel C5","10 NUMARA","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",1,43,33,"864970"
44,"spotify:track:53QUjrQ8BygCTBXfIs1Beu","İkilem","Bu Saatten Sonra","AVRUPA MÜZİK YAPIM",34,49,25,"850532"
45,"spotify:track:6wbDn8NI3ygkOeDJiS0ASi","Sefo","Bilmem Mi?","3TR6AP2",1,45,47,"848518"
46,"spotify:track:2pTwhAbZHkM1CyDYe1k8hl","Berk Baysal","Yaralarını Ben Sarayım","Bragi Productions",19,39,14,"837131"
47,"spotify:track:3HEv9gY3n9Fj2H5E2IoOKF","cakal","Riv Riv Riv","DOĞAN MÜZİK YAPIM",28,44,40,"833107"
48,"spotify:track:3Hvn1ASL6A9m921Y99Hdm4","cakal, Mavi","Gözler","Perros Blancos",21,50,11,"816435"
49,"spotify:track:72EjrX3xp4Ea2nhQRY6LMI","Reckol, BEGE","Feragât","Perros Blancos & DMC",3,52,9,"816294"
50,"spotify:track:3Zy6uq4X0w6O8UMwJbzv9o","Reckol","Trankobuskas - Remix","Perros Blancos",48,55,47,"810835"
51,"spotify:track:0CqQx2dcNFmtYM4oTSECSt","Organize","Gayrimeşru","Organize",51,-1,1,"794627"
52,"spotify:track:7z5rmdisSV8GmWCnrOd1HU","Sena Şener","Porselen Kalbim","Pasaj Stüdyo",52,88,7,"789825"
