rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5iZHnufFUgATzrpGgH1K0W","T.R.I","Ánh Sao Và Bầu Trời","Yin Yang Media",1,2,30,"257621"
2,"spotify:track:1mWdTewIgB3gtBM3TOSFhB","BTS","Butter","BIGHIT MUSIC",1,3,54,"236364"
3,"spotify:track:0dHUKYXP9PJMN0RpR9dpFR","Hứa Kim Tuyền, AMEE","hai mươi hai (22) [feat. AMEE]","Yin Yang Media",3,-1,1,"230746"
4,"spotify:track:2Lag4WL4j3AMXzqWbEzmV6","Madihu, Low G","Có em","Madihu",4,5,6,"222762"
5,"spotify:track:4ih9noxBfg7euMjCPO0qNH","RPT MCK, Trung Trần","Chìm Sâu","CDSL",1,7,14,"213138"
6,"spotify:track:7rjtRM1AgmmraeTTX8tofW","Sơn Tùng M-TP","THERE'S NO ONE AT ALL","M-TP Entertainment Ltd",1,4,6,"193361"
7,"spotify:track:04bm7NsIhRfTlLGDoKMEw8","Truc Nhan","Có Không Giữ Mất Đừng Tìm","POPS WORLDWIDE",5,6,3,"193144"
8,"spotify:track:2gzhQaCTeNgxpeB2TPllyY","Jimin, HA SUNG WOON","With you","Genie Music Corporation, Stone Music Entertainment",1,1,6,"187538"
9,"spotify:track:2m6Ko3CY1qXNNja8AlugNc","Troye Sivan","Angel Baby","EMI Recorded Music Australia Pty Ltd",7,9,16,"179992"
10,"spotify:track:5Msoarj5hk9LguTtiIyqug","Đức Phúc","Ngày Đầu Tiên","Duc Phuc",2,11,16,"171309"
11,"spotify:track:6GJi4nSZOiTOU2FhsgxWyH","Vũ.","Bước Qua Nhau","WM Vietnam",1,10,29,"171271"
12,"spotify:track:54UNNgtE3zzERwTuWSQLqd","MONSTAR","có hẹn với thanh xuân","Yin Yang Media",5,15,46,"152158"
13,"spotify:track:4AgFXIVT7hVhBZ5DEOaLu3","Thịnh Suy","tiny love","Yin Yang Media",3,14,26,"150395"
14,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,12,93,"147893"
15,"spotify:track:5fFLotKS1286huYIMQHqz7","Sơn Tùng M-TP","Muộn Rồi Mà Sao Còn","M-TP Entertainment Ltd",1,13,58,"145796"
16,"spotify:track:17iGUekw5nFt5mIRJcUm3R","Sơn Tùng M-TP","Chúng Ta Của Hiện Tại","M-TP Entertainment Ltd",1,19,76,"134919"
17,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",8,21,56,"133522"
18,"spotify:track:1MiJk3dXC5jzhvLFP0dUM7","Da LAB","Thức Giấc","Yin Yang Media",1,24,47,"132718"
19,"spotify:track:2WOpp4vm16unl0N3i3BNNv","nân, Ngơ","Tình Đắng Như Ly Cà Phê","nân",19,20,126,"131667"
20,"spotify:track:5oH4DQAuu1J1800RzUsBWa","PSY, SUGA","That That (prod. & feat. SUGA of BTS)","P NATION",2,8,5,"128105"
21,"spotify:track:7kyUapJyppdjzoAWB6XS14","BTS","Outro: Wings","BIGHIT MUSIC",21,-1,1,"125266"
